"","pmid","variable_name","variable","value","annotators","var_freq","precision"
"41","31444142","AMYLOID-Β STATUS","CONSTRUCT","PRESENCE OR ABSENCE OF AMYLOID-Β DEPOSITION IN THE BRAIN",10,1,0.1
"42","31444142","WHOLE-BRAIN VOLUME","CONSTRUCT","TOTAL VOLUME OF THE BRAIN INCLUDING ALL STRUCTURES",10,1,0.1
"43","31444142","HIPPOCAMPAL VOLUME","CONSTRUCT","VOLUME OF THE HIPPOCAMPUS, A KEY BRAIN STRUCTURE FOR MEMORY",10,1,0.1
"44","31444142","PRECLINICAL ALZHEIMER COGNITIVE COMPOSITE SCORE","CONSTRUCT","COMPOSITE SCORE ASSESSING COGNITIVE FUNCTIONS RELATED TO PRECLINICAL ALZHEIMER'S",10,1,0.1
"45","33067992","METABOLIC SYNDROME","CONSTRUCT",NA,10,6,0.6
"46","33067992","CERAD-NB TOTAL SCORE","CONSTRUCT",NA,10,5,0.5
"47","33067992","CONTINUOUSLY MEASURED METABOLIC SYNDROME COMPONENTS","CONSTRUCT",NA,10,2,0.2
"48","33067992","DICHOTOMIZED METABOLIC SYNDROME COMPONENTS","CONSTRUCT",NA,10,2,0.2
"49","33067992","NUMBER OF METABOLIC SYNDROME COMPONENTS PRESENT","CONSTRUCT",NA,10,2,0.2
"50","33067992","METABOLIC SYNDROME SEVERITY SCORE","CONSTRUCT",NA,10,6,0.6
"51","33067992","HYPERTENSION","CONSTRUCT",NA,10,6,0.6
"52","33067992","HIGH BLOOD PRESSURE","CONSTRUCT",NA,10,1,0.1
"53","33067992","WAIST CIRCUMFERENCE","CONSTRUCT",NA,10,3,0.3
"54","33067992","FASTING PLASMA GLUCOSE","CONSTRUCT",NA,10,1,0.1
"55","33067992","TRIGLYCERIDE LEVELS","CONSTRUCT",NA,10,2,0.2
"56","33067992","HDL CHOLESTEROL LEVELS","CONSTRUCT",NA,10,2,0.2
"57","33067992","BIOCHEMICAL TESTS","CONSTRUCT",NA,10,1,0.1
"58","33067992","AGE","CONSTRUCT",NA,10,6,0.6
"59","33067992","GENDER","CONSTRUCT",NA,10,6,0.6
"60","33067992","EDUCATION","CONSTRUCT",NA,10,6,0.6
"61","33067992","SMOKING STATUS","CONSTRUCT",NA,10,5,0.5
"62","33067992","ALCOHOL CONSUMPTION","CONSTRUCT",NA,10,5,0.5
"63","33067992","MEMORY","CONSTRUCT",NA,10,1,0.1
"64","33067992","ATTENTION","CONSTRUCT",NA,10,1,0.1
"65","33067992","INFORMATION PROCESSING","CONSTRUCT",NA,10,1,0.1
"66","33767305","AGE","CONSTRUCT","CHRONOLOGICAL MEASURE OF TIME SINCE BIRTH",10,5,0.5
"67","33767305","GENDER","CONSTRUCT","BIOLOGICAL SEX OF THE INDIVIDUAL",10,4,0.4
"68","33767305","EDUCATION","CONSTRUCT","LEVEL OF FORMAL EDUCATION COMPLETED",10,1,0.1
"69","33767305","HYPERTENSION","CONSTRUCT","CONDITION CHARACTERIZED BY HIGH BLOOD PRESSURE",10,1,0.1
"70","33767305","DIABETES MELLITUS","CONSTRUCT","METABOLIC DISORDER CHARACTERIZED BY HIGH BLOOD SUGAR LEVELS",10,1,0.1
"71","33767305","ALCOHOLISM","CONSTRUCT","ADDICTION TO THE CONSUMPTION OF ALCOHOLIC BEVERAGES",10,1,0.1
"72","33767305","OBESITY","CONSTRUCT","EXCESS BODY FAT THAT PRESENTS A RISK TO HEALTH",10,1,0.1
"73","33767305","ETHNICITY","CONSTRUCT","SELF-IDENTIFIED GROUP BASED ON SHARED CULTURAL TRAITS OR NATIONAL ORIGIN",10,1,0.1
"74","33767305","RISK OF HEART FAILURE","CONSTRUCT","LIKELIHOOD OF DEVELOPING HEART FAILURE",10,1,0.1
"75","36389342","PACE","CONSTRUCT","SPEED OF GAIT, STRIDE LENGTH, AND DOUBLE SUPPORT TIME",10,1,0.1
"76","36389342","RHYTHM","CONSTRUCT","SWING TIME, STANCE TIME, AND CADENCE OF GAIT",10,1,0.1
"77","36389342","GMV","CONSTRUCT","GRAY MATTER VOLUME IN SPECIFIC BRAIN REGIONS",10,1,0.1
"78","36389342","VASCULAR DISEASE","CONSTRUCT","PRESENCE OF VASCULAR CONDITIONS",10,1,0.1
"79","36389342","HYPERTENSION","CONSTRUCT","ELEVATED BLOOD PRESSURE CONDITION",10,1,0.1
"80","36389342","DIABETES","CONSTRUCT","METABOLIC DISORDER WITH HIGH BLOOD SUGAR LEVELS",10,1,0.1
"81","36389342","MYOCARDIAL INFARCTION","CONSTRUCT","HEART ATTACK LEADING TO DAMAGED HEART MUSCLE",10,1,0.1
"82","30368247","BMI","CONSTRUCT","BODY MASS INDEX",10,4,0.4
"83","30368247","GLUCOSE","CONSTRUCT","BLOOD GLUCOSE LEVELS",10,2,0.2
"84","30368247","CHOLESTEROL","CONSTRUCT","TOTAL CHOLESTEROL LEVELS",10,2,0.2
"85","30368247","DEMENTIA","CONSTRUCT","DEVELOPMENT OF DEMENTIA",10,2,0.2
"86","37441712","AGE","CONSTRUCT","CHRONOLOGICAL MEASURE OF TIME SINCE BIRTH",10,9,0.9
"87","37441712","GENDER","CONSTRUCT","BIOLOGICAL SEX OF THE INDIVIDUAL",10,9,0.9
"88","37441712","HYPERTENSION","CONSTRUCT","CONDITION CHARACTERIZED BY HIGH BLOOD PRESSURE",10,8,0.8
"89","37441712","DIABETES MELLITUS","CONSTRUCT","METABOLIC DISORDER CHARACTERIZED BY HIGH BLOOD SUGAR LEVELS",10,8,0.8
"90","37441712","ALCOHOLISM","CONSTRUCT","ADDICTION TO THE CONSUMPTION OF ALCOHOLIC BEVERAGES",10,5,0.5
"91","37441712","OBESITY","CONSTRUCT","EXCESS BODY FAT THAT PRESENTS A RISK TO HEALTH",10,6,0.6
"92","37441712","ETHNICITY","CONSTRUCT","SELF-IDENTIFIED GROUP BASED ON SHARED CULTURAL TRAITS OR NATIONAL ORIGIN",10,7,0.7
"93","37441712","RISK OF HEART FAILURE","CONSTRUCT","LIKELIHOOD OF DEVELOPING HEART FAILURE",10,6,0.6
"94","33655975","BMI","CONSTRUCT","BODY MASS INDEX",10,3,0.3
"95","33655975","FAT MASS INDEX","CONSTRUCT","MEASURE OF FAT MASS ADJUSTED FOR HEIGHT",10,2,0.2
"96","33655975","TRUNK FAT MASS INDEX","CONSTRUCT","MEASURE OF FAT MASS AROUND TRUNK ADJUSTED FOR HEIGHT",10,1,0.1
"97","33655975","MMSE-KC","CONSTRUCT","MINI-MENTAL STATE EXAMINATION - KOREAN VERSION",10,1,0.1
"98","33655975","WORDLIST MEMORY","CONSTRUCT","IMMEDIATE MEMORY RECALL OF WORDS",10,1,0.1
"99","33655975","LOGISTIC MODELS","CONSTRUCT","STATISTICAL ANALYSIS USING LOGISTIC REGRESSION",10,1,0.1
"100","37830725","PHYSICAL FITNESS","CONSTRUCT","PHYSICAL CAPACITY AND FITNESS LEVELS",10,2,0.2
"101","37830725","BODY COMPOSITION","CONSTRUCT","PROPORTION OF BODY MASS MADE UP OF FAT, MUSCLE, BONE, AND WATER",10,1,0.1
"102","37830725","GENERAL HEALTH STATUS","CONSTRUCT","OVERALL HEALTH CONDITION AND WELL-BEING",10,1,0.1
"103","37830725","FUNCTIONAL CAPACITY","CONSTRUCT","INDIVIDUAL'S ABILITY TO PERFORM DAILY TASKS AND ACTIVITIES",10,1,0.1
"104","37830725","NEUROMUSCULAR CAPACITY","CONSTRUCT","INTEGRATION OF NEUROMUSCULAR SYSTEMS IN PERFORMING TASKS",10,1,0.1
"105","37830725","DEMENTIA/COGNITIVE FUNCTION","CONSTRUCT","INTELLECTUAL AND COGNITIVE PERFORMANCE",10,1,0.1
"106","37830725","QUALITY OF LIFE","CONSTRUCT","SUBJECTIVE WELL-BEING AND LIFE SATISFACTION",10,3,0.3
"107","37698858","HYPERTENSION","CONSTRUCT","CONDITION CHARACTERIZED BY HIGH BLOOD PRESSURE",10,8,0.8
"108","37698858","ANTIHYPERTENSIVE USE","CONSTRUCT","UTILIZATION OF MEDICATIONS TO LOWER BLOOD PRESSURE",10,2,0.2
"109","37698858","BASELINE SYSTOLIC BLOOD PRESSURE","CONSTRUCT","INITIAL MEASUREMENT OF PRESSURE IN THE ARTERIES WHEN THE HEART BEATS",10,1,0.1
"110","37698858","BASELINE DIASTOLIC BLOOD PRESSURE","CONSTRUCT","INITIAL MEASUREMENT OF PRESSURE IN THE ARTERIES WHEN THE HEART IS AT REST",10,1,0.1
"111","37698858","ALL-CAUSE DEMENTIA","CONSTRUCT","GENERAL DIAGNOSIS OF COGNITIVE DECLINE AFFECTING DAILY FUNCTIONING",10,1,0.1
"112","38229871","DEMENTIA","CONSTRUCT","NEUROLOGICAL CONDITION CHARACTERIZED BY COGNITIVE IMPAIRMENT",10,1,0.1
"113","38229871","HEART FAILURE","CONSTRUCT","CARDIOVASCULAR CONDITION CHARACTERIZED BY THE INABILITY OF THE HEART TO PUMP EFFECTIVELY",10,1,0.1
"114","38229871","KIDNEY DISEASE","CONSTRUCT","IMPAIRMENT IN KIDNEY FUNCTION",10,1,0.1
"115","38229871","CANCER","CONSTRUCT","ABNORMAL CELL GROWTH WITH POTENTIAL TO INVADE OR SPREAD TO OTHER PARTS OF THE BODY",10,1,0.1
"116","38229871","ARTERIAL HYPERTENSION","CONSTRUCT","ELEVATED BLOOD PRESSURE IN THE ARTERIES",10,5,0.5
"117","38229871","DIABETES","CONSTRUCT","METABOLIC DISORDER CHARACTERIZED BY HIGH BLOOD SUGAR LEVELS",10,8,0.8
"118","38229871","ISCHEMIC HEART DISEASE","CONSTRUCT","CONDITION RESULTING FROM REDUCED BLOOD SUPPLY TO THE HEART MUSCLE",10,1,0.1
"119","38229871","CEREBROVASCULAR DISEASE","CONSTRUCT","DISORDERS AFFECTING BLOOD VESSELS SUPPLYING THE BRAIN",10,3,0.3
"120","38229871","PERIPHERAL VASCULAR DISEASE","CONSTRUCT","NARROWING OF BLOOD VESSELS OUTSIDE OF THE HEART AND BRAIN",10,1,0.1
"121","38229871","LEUKEMIA","CONSTRUCT","CANCER OF THE BLOOD OR BONE MARROW",10,1,0.1
"122","31617930","AGE","CONSTRUCT",NA,10,3,0.3
"123","31617930","GENDER","CONSTRUCT",NA,10,3,0.3
"124","31617930","EDUCATION","CONSTRUCT",NA,10,5,0.5
"125","31617930","HYPERTENSION","CONSTRUCT",NA,10,8,0.8
"126","31617930","DIABETES MELLITUS","CONSTRUCT",NA,10,1,0.1
"127","31617930","ALCOHOLISM","CONSTRUCT",NA,10,1,0.1
"128","31617930","OBESITY","CONSTRUCT",NA,10,1,0.1
"129","31617930","ETHNICITY","CONSTRUCT",NA,10,3,0.3
"130","31617930","VITAMIN D DEFICIENCY","CONSTRUCT",NA,10,1,0.1
"131","31617930","RISK OF HEART FAILURE","CONSTRUCT",NA,10,1,0.1
"132","29574441","ALZHEIMER'S DISEASE RISK","CONSTRUCT","RISK OF DEVELOPING ALZHEIMER'S DISEASE",10,1,0.1
"133","29574441","LIFESTYLE FACTORS","CONSTRUCT","VARIOUS LIFESTYLE HABITS AND PRACTICES",10,1,0.1
"134","29574441","VASCULAR RISK FACTORS","CONSTRUCT","RISK FACTORS RELATED TO CARDIOVASCULAR HEALTH",10,1,0.1
"135","29574441","COGNITIVE FUNCTION","CONSTRUCT","MEASUREMENT OF COGNITIVE ABILITIES",10,1,0.1
"136","37203319","AGE","CONSTRUCT","CHRONOLOGICAL MEASURE OF TIME SINCE BIRTH",10,10,1
"137","37203319","ARTERIAL HYPERTENSION","CONSTRUCT","ELEVATED BLOOD PRESSURE IN ARTERIAL CIRCULATION",10,1,0.1
"138","37203319","CHRONIC RENAL FAILURE","CONSTRUCT","LONG-TERM DECLINE IN KIDNEY FUNCTION",10,1,0.1
"139","37203319","DEMENTIA","CONSTRUCT","NEUROLOGICAL CONDITION CAUSING COGNITIVE DECLINE",10,1,0.1
"140","37203319","CHRONIC OBSTRUCTIVE PULMONARY DISEASE","CONSTRUCT","PROGRESSIVE LUNG DISEASE OBSTRUCTING AIRFLOW",10,2,0.2
"141","37203319","HEART FAILURE","CONSTRUCT","HEART CONDITION WHERE THE HEART CAN'T PUMP ENOUGH BLOOD",10,1,0.1
"142","37203319","PRIOR STROKE","CONSTRUCT","HISTORY OF CEREBROVASCULAR ACCIDENT",10,4,0.4
"143","37203319","CHARLSON INDEX","CONSTRUCT","METHOD TO PREDICT THE ONE-YEAR MORTALITY FOR A PATIENT",10,1,0.1
"144","37203319","GLUCOCORTICOID TREATMENT","CONSTRUCT","USE OF GLUCOCORTICOID MEDICATIONS IN THERAPY",10,1,0.1
"145","37203319","COVID-19 WAVE","CONSTRUCT","SUCCESSIVE EPIDEMIOLOGICAL WAVES OF COVID-19",10,1,0.1
"146","30180830","FEV1","CONSTRUCT","FORCED EXPIRATORY VOLUME IN 1 SECOND",10,3,0.3
"147","30180830","GRIP STRENGTH","CONSTRUCT","MEASURE OF MUSCULAR STRENGTH",10,1,0.1
"148","30180830","WALKING SPEED","CONSTRUCT","SPEED OF WALKING OVER A DEFINED DISTANCE",10,1,0.1
"149","30180830","APOE Ε4 STATUS","CONSTRUCT","GENETIC STATUS FOR APOE Ε4 ALLELE",10,1,0.1
"150","30180830","AGE","CONSTRUCT","CHRONOLOGICAL MEASURE OF TIME SINCE BIRTH",10,2,0.2
"151","30180830","SEX","CONSTRUCT","BIOLOGICAL SEX OF THE INDIVIDUAL",10,3,0.3
"152","30180830","HEIGHT","CONSTRUCT","MEASURE OF VERTICAL STATURE",10,1,0.1
"153","30180830","AGE 11 IQ","CONSTRUCT","INTELLIGENCE QUOTIENT AT AGE 11",10,1,0.1
"154","30180830","SMOKING STATUS","CONSTRUCT","HISTORY OF SMOKING HABITS",10,1,0.1
"155","30180830","HISTORY OF HYPERTENSION","CONSTRUCT","PRESENCE OF HYPERTENSION IN MEDICAL HISTORY",10,1,0.1
"156","30180830","HISTORY OF DIABETES","CONSTRUCT","PRESENCE OF DIABETES IN MEDICAL HISTORY",10,1,0.1
"157","36699985","AGE","CONSTRUCT","CHRONOLOGICAL MEASURE OF TIME SINCE BIRTH",10,10,1
"158","36699985","GENDER","CONSTRUCT","BIOLOGICAL SEX OF THE INDIVIDUAL",10,10,1
"159","36699985","HYPERTENSION","CONSTRUCT","CONDITION CHARACTERIZED BY HIGH BLOOD PRESSURE",10,8,0.8
"160","36699985","DIABETES MELLITUS","CONSTRUCT","METABOLIC DISORDER CHARACTERIZED BY HIGH BLOOD SUGAR LEVELS",10,8,0.8
"161","36699985","ALCOHOLISM","CONSTRUCT","ADDICTION TO THE CONSUMPTION OF ALCOHOLIC BEVERAGES",10,7,0.7
"162","36699985","OBESITY","CONSTRUCT","EXCESS BODY FAT THAT PRESENTS A RISK TO HEALTH",10,8,0.8
"163","36699985","ETHNICITY","CONSTRUCT","SELF-IDENTIFIED GROUP BASED ON SHARED CULTURAL TRAITS OR NATIONAL ORIGIN",10,8,0.8
"164","34176293","BLOOD PRESSURE VARIABILITY","CONSTRUCT","VARIABILITY IN BLOOD PRESSURE MEASUREMENTS OVER MULTIPLE VISITS",10,3,0.3
"165","34176293","COGNITIVE DECLINE","CONSTRUCT","DETERIORATION IN COGNITIVE FUNCTION OVER TIME",10,2,0.2
"166","34176293","INCIDENT DEMENTIA","CONSTRUCT","NEW ONSET OF DEMENTIA DURING THE STUDY PERIOD",10,2,0.2
"167","37711969","BLOOD PRESSURE VARIABILITY","CONSTRUCT","VARIABILITY IN BLOOD PRESSURE READINGS OVER A PERIOD OF TIME",10,1,0.1
"168","37711969","COGNITIVE FUNCTIONING","CONSTRUCT","MENTAL PROCESSES INVOLVED IN ACQUIRING KNOWLEDGE AND UNDERSTANDING",10,1,0.1
"169","37711969","VASCULAR STIFFNESS","CONSTRUCT","LOSS OF ARTERIAL ELASTICITY DUE TO INCREASED VASCULAR RESISTANCE",10,1,0.1
"170","37711969","ARTERIAL STIFFNESS","CONSTRUCT","LOSS OF ARTERIAL ELASTICITY DUE TO INCREASED VASCULAR RESISTANCE",10,1,0.1
"171","37711969","CEREBROVASCULAR PULSATILITY","CONSTRUCT","PULSATILE MOTION OF BLOOD IN CEREBRAL BLOOD VESSELS",10,1,0.1
"172","35897033","T2DM","CONSTRUCT","TYPE 2 DIABETES MELLITUS",10,3,0.3
"173","35897033","AGE","CONSTRUCT","CHRONOLOGICAL MEASURE OF TIME SINCE BIRTH",10,8,0.8
"174","35897033","GENDER","CONSTRUCT","BIOLOGICAL SEX OF THE INDIVIDUAL",10,7,0.7
"175","35897033","EDUCATION","CONSTRUCT","LEVEL OF FORMAL EDUCATION COMPLETED",10,5,0.5
"176","35897033","HYPERTENSION","CONSTRUCT","CONDITION CHARACTERIZED BY HIGH BLOOD PRESSURE",10,5,0.5
"177","35897033","DEPRESSION","CONSTRUCT","MENTAL HEALTH CONDITION CHARACTERIZED BY PERSISTENT SADNESS AND LOSS OF INTEREST",10,1,0.1
"178","35897033","GLOBAL COGNITIVE Z-SCORE","CONSTRUCT","AVERAGE Z-SCORE OF COGNITIVE TEST PERFORMANCE",10,1,0.1
"179","35533660","SUBJECTIVE COGNITIVE DECLINE","CONSTRUCT","SELF-REPORTED DECLINE IN COGNITION IN OTHERWISE COGNITIVELY HEALTHY INDIVIDUALS",10,3,0.3
"180","35533660","AGE","CONSTRUCT","CHRONOLOGICAL MEASURE OF TIME SINCE BIRTH",10,10,1
"181","35533660","GENDER","CONSTRUCT","BIOLOGICAL SEX OF THE INDIVIDUAL",10,9,0.9
"182","35533660","DEPRESSION","CONSTRUCT","MOOD DISORDER CHARACTERIZED BY PERSISTENT SADNESS AND LOSS OF INTEREST",10,2,0.2
"183","35533660","PHYSICAL ACTIVITY","CONSTRUCT","LEVEL OF PHYSICAL EXERCISE AND MOVEMENT",10,3,0.3
"184","35533660","VISION PROBLEMS","CONSTRUCT","FUNCTIONAL ISSUES RELATED TO VISUAL IMPAIRMENTS",10,1,0.1
"185","35533660","SEXUAL ORIENTATION","CONSTRUCT","SELF-IDENTIFIED SEXUAL IDENTITY",10,1,0.1
"186","35533660","RACE","CONSTRUCT","SELF-IDENTIFIED RACIAL BACKGROUND",10,1,0.1
"187","34872609","BODY HEIGHT","CONSTRUCT","MEASURE OF AN INDIVIDUAL'S HEIGHT IN CENTIMETERS",10,1,0.1
"188","34872609","MINI MENTAL STATE EXAMINATION SCORE","CONSTRUCT","ASSESSMENT TOOL TO MEASURE COGNITIVE FUNCTION",10,2,0.2
"189","34872609","AGE","CONSTRUCT","CHRONOLOGICAL MEASURE OF TIME SINCE BIRTH",10,10,1
"190","34872609","EDUCATIONAL ATTAINMENT","CONSTRUCT","HIGHEST LEVEL OF EDUCATION COMPLETED",10,3,0.3
"191","34872609","SMOKING STATUS","CONSTRUCT","CURRENT OR PAST TOBACCO SMOKING BEHAVIOR",10,1,0.1
"192","34872609","DRINKING STATUS","CONSTRUCT","CURRENT ALCOHOL CONSUMPTION BEHAVIOR",10,1,0.1
"193","34872609","HYPERTENSION","CONSTRUCT","CONDITION CHARACTERIZED BY HIGH BLOOD PRESSURE",10,9,0.9
"194","34872609","DIABETES","CONSTRUCT","METABOLIC DISORDER CHARACTERIZED BY HIGH BLOOD SUGAR LEVELS",10,9,0.9
"195","34872609","HYPERCHOLESTEROLEMIA","CONSTRUCT","CONDITION CHARACTERIZED BY HIGH LEVELS OF CHOLESTEROL IN THE BLOOD",10,2,0.2
"196","38443972","AGE","CONSTRUCT","CHRONOLOGICAL MEASURE OF TIME SINCE BIRTH",10,10,1
"197","38443972","GENDER","CONSTRUCT","BIOLOGICAL SEX OF THE INDIVIDUAL",10,3,0.3
"198","38443972","EDUCATION","CONSTRUCT","LEVEL OF FORMAL EDUCATION COMPLETED",10,10,1
"199","38443972","HYPERTENSION","CONSTRUCT","CONDITION CHARACTERIZED BY HIGH BLOOD PRESSURE",10,6,0.6
"200","38443972","DIABETES MELLITUS","CONSTRUCT","METABOLIC DISORDER CHARACTERIZED BY HIGH BLOOD SUGAR LEVELS",10,1,0.1
"201","38443972","OBESITY","CONSTRUCT","EXCESS BODY FAT THAT PRESENTS A RISK TO HEALTH",10,1,0.1
"202","38443972","ETHNICITY","CONSTRUCT","SELF-IDENTIFIED GROUP BASED ON SHARED CULTURAL TRAITS OR NATIONAL ORIGIN",10,1,0.1
"203","38443972","RISK OF HEART FAILURE","CONSTRUCT","LIKELIHOOD OF DEVELOPING HEART FAILURE",10,1,0.1
"204","37079031","RETINAL THICKNESS","CONSTRUCT","THICKNESS OF THE RETINAL LAYERS",10,1,0.1
"205","37079031","GLOBAL COGNITION","CONSTRUCT","OVERALL COGNITIVE FUNCTION",10,2,0.2
"206","37079031","DISEASE DURATION","CONSTRUCT","LENGTH OF TIME SINCE DISEASE ONSET",10,1,0.1
"207","37079031","CAG REPEATS","CONSTRUCT","NUMBER OF CAG REPEAT EXPANSIONS IN THE HUNTINGTIN GENE",10,1,0.1
"208","37079031","SMOKING STATUS","CONSTRUCT","CURRENT SMOKING BEHAVIOR",10,1,0.1
"209","37079031","MACULAR VOLUME","CONSTRUCT","VOLUME OF THE MACULAR REGION",10,1,0.1
"210","37079031","RETINAL NERVE FIBER LAYER THICKNESS","CONSTRUCT","THICKNESS OF THE RETINAL NERVE FIBER LAYER",10,1,0.1
"211","36265125","PULMONARY DISEASE","CONSTRUCT","CHRONIC RESPIRATORY CONDITIONS AFFECTING THE LUNGS",10,4,0.4
"212","36265125","DEMENTIA","CONSTRUCT","NEUROLOGICAL CONDITION CHARACTERIZED BY COGNITIVE DECLINE",10,1,0.1
"213","36265125","GASTROINTESTINAL DISEASE","CONSTRUCT","DISORDERS AFFECTING THE DIGESTIVE SYSTEM",10,5,0.5
"214","36265125","STROKE","CONSTRUCT","SUDDEN IMPAIRMENT OF BLOOD SUPPLY TO THE BRAIN CAUSING NEUROLOGICAL DEFICITS",10,1,0.1
"215","36265125","HEPATOBILIARY DISEASE","CONSTRUCT","DISORDERS AFFECTING THE LIVER, GALLBLADDER, AND BILE DUCTS",10,3,0.3
"216","36265125","HYPERLIPIDEMIA","CONSTRUCT","ELEVATED LEVELS OF LIPIDS IN THE BLOOD",10,6,0.6
"217","36265125","AUTOIMMUNE DISEASE","CONSTRUCT","DISORDERS WHERE THE IMMUNE SYSTEM ATTACKS THE BODY'S OWN TISSUES",10,2,0.2
"218","36265125","CANCER","CONSTRUCT","MALIGNANT NEOPLASMS CHARACTERIZED BY UNCONTROLLED CELL GROWTH",10,1,0.1
