"","pmid","annotator_id","characteristic","class","explanation","categories","counts","percentages"
"23","33839636","SMA3535","Reasons for Consultation","Health-Related","The main reasons for consultation among participants.","Deterioration in General Condition",NA,NA
"24","33839636","SMA3535","Reasons for Consultation","Health-Related","The main reasons for consultation among participants.","Dyspnea",NA,NA
"25","33839636","SMA3535","Reasons for Consultation","Health-Related","The main reasons for consultation among participants.","Decreased Level of Consciousness",NA,NA
"26","33839636","SMA3535","Reasons for Consultation","Health-Related","The main reasons for consultation among participants.","Fever",NA,NA
"27","33839636","SMA3535","Prevalence of Comorbidities","Health-Related","The prevalence of comorbidities among participants.","Neurological Diseases",NA,"NA"
"28","33839636","SMA3535","Prevalence of Comorbidities","Health-Related","The prevalence of comorbidities among participants.","Hypertension","90.3","90.3%"
"29","33839636","SMA3535","Prevalence of Comorbidities","Health-Related","The prevalence of comorbidities among participants.","Reumatologic Diseases","75.2","75.2%"
"30","33839636","SMA3535","Prevalence of Comorbidities","Health-Related","The prevalence of comorbidities among participants.","Others",NA,"NA"
"31","33839636","SMA3535","Treatment Habitual","Other","The habitual treatments received by the participants.","Inhibitors of Proton Pump",NA,NA
"32","33839636","SMA3535","Treatment Habitual","Other","The habitual treatments received by the participants.","Diuretics",NA,NA
"33","33839636","SMA3535","Treatment Habitual","Other","The habitual treatments received by the participants.","Antihipertensives",NA,NA
"34","33839636","SMA3535","Treatment Habitual","Other","The habitual treatments received by the participants.","Others",NA,NA
"35","34611033","NXF4336","Gender","Demographic","Distribution of male and female participants.","Men","324","73.1%"
"36","34611033","NXF4336","Gender","Demographic","Distribution of male and female participants.","Women","119","26.9%"
"37","33126696","CQM8645","Gender","Demographic","The distribution of male and female participants.","Male","168","76%"
"38","33126696","CQM8645","Gender","Demographic","The distribution of male and female participants.","Female","53","24%"
"39","33126696","CQM8645","Marital Status","Demographic","Marital status of the participants.","Married","48","48%"
"40","33126696","CQM8645","Marital Status","Demographic","Marital status of the participants.","Widows","50","50%"
"41","33126696","CQM8645","Institutionalization","Demographic","Distribution of participants based on institutionalization status.","Admitted to geriatric centers","107","48.4%"
"42","33126696","CQM8645","Institutionalization","Demographic","Distribution of participants based on institutionalization status.","Not admitted to geriatric centers","114","51.6%"
"43","33126696","CQM8645","Residence Area","Geographic","The distribution of participants by urban and rural areas.","Urban","167","75.6%"
"44","33126696","CQM8645","Residence Area","Geographic","The distribution of participants by urban and rural areas.","Rural","54","24.4%"
"45","33126696","CQM8645","Diagnosis of Dementia","Health-Related","Prevalence of dementia diagnosis among participants.","With Dementia","96","43.4%"
"46","33126696","CQM8645","Diagnosis of Dementia","Health-Related","Prevalence of dementia diagnosis among participants.","Without Dementia","125","56.6%"
"47","33126696","CQM8645","Diagnosis of Alzheimer's Disease (AD)","Health-Related","Prevalence of AD diagnosis among participants.","With AD","74","33.5%"
"48","33126696","CQM8645","Diagnosis of Alzheimer's Disease (AD)","Health-Related","Prevalence of AD diagnosis among participants.","Without AD","147","66.5%"
"49","33126696","CQM8645","Barthel Index Score","Other","Level of independence in basic daily life activities based on Barthel Index score.","Total dependency","103","61.49%"
"50","33126696","CQM8645","Barthel Index Score","Other","Level of independence in basic daily life activities based on Barthel Index score.","Severe dependence","52","31.25%"
"51","33126696","CQM8645","Barthel Index Score","Other","Level of independence in basic daily life activities based on Barthel Index score.","Moderate dependence","12","7.26%"
"52","33126696","CQM8645","Prevalence of Depression","Health-Related","Prevalence of depression diagnosis among participants.","With Depression","39","17.6%"
"53","33126696","CQM8645","Prevalence of Depression","Health-Related","Prevalence of depression diagnosis among participants.","Without Depression","182","82.4%"
"54","33126696","CQM8645","Prevalence of Type 2 Diabetes Mellitus (T2DM)","Health-Related","Prevalence of T2DM diagnosis among participants.","With T2DM","40","18.1%"
"55","33126696","CQM8645","Prevalence of Type 2 Diabetes Mellitus (T2DM)","Health-Related","Prevalence of T2DM diagnosis among participants.","Without T2DM","181","81.9%"
"56","33126696","CQM8645","Prevalence of Hypertension","Health-Related","Prevalence of hypertension diagnosis among participants.","With Hypertension","136","61.5%"
"57","33126696","CQM8645","Prevalence of Hypertension","Health-Related","Prevalence of hypertension diagnosis among participants.","Without Hypertension","85","38.5%"
"58","33126696","CQM8645","Prevalence of Dyslipidemia","Health-Related","Prevalence of dyslipidemia diagnosis among participants.","With Dyslipidemia","86","38.7%"
"59","33126696","CQM8645","Prevalence of Dyslipidemia","Health-Related","Prevalence of dyslipidemia diagnosis among participants.","Without Dyslipidemia","135","61.3%"
"60","36092174","JCZ2927","Age","Demographic","The distribution of age among the study participants.","80 years and above",NA,NA
"61","36092174","JCZ2927","Gender","Demographic","The distribution of gender among the study participants.","Women",NA,NA
"62","36092174","JCZ2927","Ethnicity","Demographic","The distribution of ethnicity among the study participants.","White",NA,NA
"63","36092174","JCZ2927","Weight and Height (for BMI calculation)","Other","The weight and height information used for BMI calculation.",NA,NA,NA
"64","36092174","JCZ2927","Presence of Comorbidities","Health-Related","The presence of comorbidities among the study participants.","Systemic Arterial Hypertension",NA,NA
"65","36092174","JCZ2927","Presence of Comorbidities","Health-Related","The presence of comorbidities among the study participants.","Diabetes Mellitus",NA,NA
"66","36092174","JCZ2927","Presence of Comorbidities","Health-Related","The presence of comorbidities among the study participants.","Alzheimer's Disease",NA,NA
"67","33798213","RRZ7464","Age","Demographic","The distribution of age groups among the study participants.","Under 18",NA,NA
"68","33798213","RRZ7464","Age","Demographic","The distribution of age groups among the study participants.","18-35",NA,NA
"69","33798213","RRZ7464","Age","Demographic","The distribution of age groups among the study participants.","36-55",NA,NA
"70","33798213","RRZ7464","Age","Demographic","The distribution of age groups among the study participants.","56-75",NA,NA
"71","33798213","RRZ7464","Age","Demographic","The distribution of age groups among the study participants.","Over 75",NA,NA
"72","33798213","RRZ7464","Gender","Demographic","The distribution of male and female participants.","Male","221",NA
"73","33798213","RRZ7464","Gender","Demographic","The distribution of male and female participants.","Female","803",NA
"74","33798213","RRZ7464","Gender","Demographic","The distribution of male and female participants.","Male",NA,NA
"75","33798213","RRZ7464","Geographic Distribution","Geographic","The distribution of participants by geographic regions.","Canadian Primary Care Sentinel Surveillance Network",NA,NA
"76","33798213","RRZ7464","Prevalence of Diabetes","Health-Related","The distribution of participants with and without a diagnosis of diabetes.","With Diabetes","7919","27.9%"
"77","33798213","RRZ7464","Prevalence of Diabetes","Health-Related","The distribution of participants with and without a diagnosis of diabetes.","Without Diabetes","15415","72.1%"
"78","33798213","RRZ7464","Prevalence of Chronic Kidney Disease","Health-Related","The distribution of participants with and without a diagnosis of chronic kidney disease.","With Chronic Kidney Disease","2192","42.8%"
"79","33798213","RRZ7464","Prevalence of Chronic Kidney Disease","Health-Related","The distribution of participants with and without a diagnosis of chronic kidney disease.","Without Chronic Kidney Disease","2924","57.2%"
"80","31444142","VBQ5737","Participants","Demographic","Overview of the characteristics of participants in the study.","Men","238","51%"
"81","31444142","VBQ5737","Participants","Demographic","Overview of the characteristics of participants in the study.","Women","227","49%"
"82","31444142","VBQ5737","Age","Demographic","Age distribution of participants in the study.","69-71 years","502","100%"
"83","31444142","VBQ5737","Amyloid Status","Health-Related","Presence or absence of amyloid positivity in participants.","Positive","83","18%"
"84","31444142","VBQ5737","Amyloid Status","Health-Related","Presence or absence of amyloid positivity in participants.","Negative","378","82%"
"85","31444142","VBQ5737","Hypertensive","Health-Related","Individuals categorized based on hypertension criteria.","At 36 years of age","71","16%"
"86","31444142","VBQ5737","Hypertensive","Health-Related","Individuals categorized based on hypertension criteria.","At 43 years of age","104","22%"
"87","31444142","VBQ5737","Hypertensive","Health-Related","Individuals categorized based on hypertension criteria.","At 53 years of age","226","46%"
"88","31444142","VBQ5737","Hypertensive","Health-Related","Individuals categorized based on hypertension criteria.","At 60-64 years of age","259","52%"
"89","31444142","VBQ5737","Hypertensive","Health-Related","Individuals categorized based on hypertension criteria.","At 69 years of age","274","55%"
"90","31444142","VBQ5737","Antihypertensive Medication Use","Other","Usage of antihypertensive medication by participants.","At 36 years of age","7","2%"
"91","31444142","VBQ5737","Antihypertensive Medication Use","Other","Usage of antihypertensive medication by participants.","At 43 years of age","9","2%"
"92","31444142","VBQ5737","Antihypertensive Medication Use","Other","Usage of antihypertensive medication by participants.","At 53 years of age","57","12%"
"93","31444142","VBQ5737","Antihypertensive Medication Use","Other","Usage of antihypertensive medication by participants.","At 60-64 years of age","141","28%"
"94","31444142","VBQ5737","Antihypertensive Medication Use","Other","Usage of antihypertensive medication by participants.","At 69 years of age","194","40%"
"95","31444142","VBQ5737","Smoking Status","Other","Distribution of smoking status among participants.","Current smoker","18","4%"
"96","31444142","VBQ5737","Smoking Status","Other","Distribution of smoking status among participants.","Ex-smoker","311","62%"
"97","31444142","VBQ5737","Smoking Status","Other","Distribution of smoking status among participants.","Never smoked","170","34%"
"98","31444142","VBQ5737","Hypercholesterolaemia","Health-Related","Occurrence of hypercholesterolaemia in participants.","Yes","398","80%"
"99","31444142","VBQ5737","Diabetes","Health-Related","Prevalence of diabetes among participants.","Yes","55","11%"
"100","31444142","VBQ5737","Body Mass Index (BMI)","Health-Related","Distribution of BMI among participants.","Mean 27.7 kg/m^2",NA,NA
"101","31444142","VBQ5737","Adult Socioeconomic Position","Demographic","Socioeconomic status classification of participants.","Non-manual (Class I-III)","424","85%"
"102","31444142","VBQ5737","Adult Socioeconomic Position","Demographic","Socioeconomic status classification of participants.","Manual (Class IIIM-V)","75","15%"
"103","31444142","VBQ5737","APOE ε4 Carrier","Health-Related","Distribution of APOE ε4 carriers among participants.","Carrier","146","29%"
"104","31444142","VBQ5737","APOE ε4 Carrier","Health-Related","Distribution of APOE ε4 carriers among participants.","Non-carrier","351","71%"
"105","33067992","KEW6002","Age","Demographic","The distribution of age among participants.","45-55","112","100%"
"106","33067992","KEW6002","Gender","Demographic","The distribution of male and female participants.","Male","18","16.1%"
"107","33067992","KEW6002","Gender","Demographic","The distribution of male and female participants.","Female","94","83.9%"
"108","33067992","KEW6002","Education","Demographic","The educational background of participants.","University degree","82","73.2%"
"109","33067992","KEW6002","Education","Demographic","The educational background of participants.","Secondary education","30","26.8%"
"110","33067992","KEW6002","Smoking Status","Other","The smoking habits of participants.","Never smoker","66","58.9%"
"111","33067992","KEW6002","Smoking Status","Other","The smoking habits of participants.","Former/Current smoker","46","41.1%"
"112","33067992","KEW6002","Alcohol Consumption","Other","The alcohol consumption status of participants.","No","75","67.0%"
"113","33067992","KEW6002","Alcohol Consumption","Other","The alcohol consumption status of participants.","Yes","37","33.0%"
"114","33067992","KEW6002","Hypertension","Health-Related","The prevalence of hypertension among participants.","With Hypertension","53","47.3%"
"115","33067992","KEW6002","Hypertension","Health-Related","The prevalence of hypertension among participants.","Without Hypertension","59","52.7%"
"116","33067992","KEW6002","High Waist Circumference","Health-Related","The presence of high waist circumference among participants.","With High Waist Circumference","80","71.4%"
"117","33067992","KEW6002","High Waist Circumference","Health-Related","The presence of high waist circumference among participants.","Without High Waist Circumference","32","28.6%"
"118","33067992","KEW6002","High Glucose","Health-Related","The presence of high glucose levels among participants.","With High Glucose","40","35.7%"
"119","33067992","KEW6002","High Glucose","Health-Related","The presence of high glucose levels among participants.","Without High Glucose","72","64.3%"
"120","33067992","KEW6002","Low HDL Cholesterol","Health-Related","The presence of low HDL cholesterol levels among participants.","With Low HDL Cholesterol","40","35.7%"
"121","33067992","KEW6002","Low HDL Cholesterol","Health-Related","The presence of low HDL cholesterol levels among participants.","Without Low HDL Cholesterol","72","64.3%"
"122","33067992","KEW6002","High Triglycerides","Health-Related","The presence of high triglyceride levels among participants.","With High Triglycerides","37","33.0%"
"123","33067992","KEW6002","High Triglycerides","Health-Related","The presence of high triglyceride levels among participants.","Without High Triglycerides","75","67.0%"
"124","33767305","ELU4219","Gender","Demographic","The distribution of male and female participants.","Male","57","51.4%"
"125","33767305","ELU4219","Gender","Demographic","The distribution of male and female participants.","Female","54","48.6%"
"126","33767305","ELU4219","Age","Demographic","The average age and age range of study participants.","30-75 years",NA,NA
"127","33767305","ELU4219","Smoking History","Other","The distribution of participants with and without a history of smoking.","Smoking: Yes","17","15.3%"
"128","33767305","ELU4219","Smoking History","Other","The distribution of participants with and without a history of smoking.","Smoking: No","94","84.7%"
"129","33767305","ELU4219","Body Mass Index (BMI)","Other","The BMI range and mean BMI of participants.","17.8-29.1 kg/m2",NA,NA
"130","33767305","ELU4219","Systolic Blood Pressure (SBP)","Health-Related","The mean SBP of study participants.","116.7 ± 14.1 mm Hg",NA,NA
"131","33767305","ELU4219","Diastolic Blood Pressure (DBP)","Health-Related","The mean DBP of study participants.","72.7 ± 9.4 mm Hg",NA,NA
"132","33767305","ELU4219","Heart Rate","Other","The mean heart rate of study participants.","71.6 ± 8.6 bpm",NA,NA
"133","33767305","ELU4219","Intraocular Pressure (IOP)","Health-Related","The mean IOP range of study participants.","8.0-20.0 mm Hg",NA,NA
"134","33767305","ELU4219","Disc Area","Other","The mean disc area of study participants.","1.50-3.37 mm2",NA,NA
"135","33767305","ELU4219","Rim Area","Other","The mean rim area of study participants.","0.75-2.98 mm2",NA,NA
"136","33767305","ELU4219","β-PPA Area","Other","The mean β-PPA area of study participants.","0.00-2.19 mm2",NA,NA
"137","33767305","ELU4219","CRAE","Other","The mean CRAE of study participants.","106-191 µm",NA,NA
"138","33767305","ELU4219","CRVE","Other","The mean CRVE of study participants.","176-276 µm",NA,NA
"139","36389342","TYF1949","Age","Demographic","The age distribution of the study sample.","72.5 years ± 7.2 years","297","100%"
"140","36389342","TYF1949","Age","Demographic","The age distribution of the study sample.","NA","0","0%"
"141","36389342","TYF1949","Gender","Demographic","The gender distribution of the study sample.","Women","43","14.5%"
"142","36389342","TYF1949","Gender","Demographic","The gender distribution of the study sample.","Men","254","85.5%"
"143","36389342","TYF1949","Diagnosis of Dementia","Health-Related","The presence or absence of dementia diagnosis in the study sample.","Without Dementia","297","100%"
"144","36389342","TYF1949","Diagnosis of Dementia","Health-Related","The presence or absence of dementia diagnosis in the study sample.","NA","0","0%"
"145","36389342","TYF1949","Vascular Disease","Health-Related","The presence or absence of any vascular disease in the study sample.","With Vascular Disease",NA,NA
"146","36389342","TYF1949","Vascular Disease","Health-Related","The presence or absence of any vascular disease in the study sample.","Without Vascular Disease",NA,NA
"147","36389342","TYF1949","Hypertension Diagnosis","Health-Related","The distribution of participants with and without a diagnosis of hypertension.","With Hypertension","50","16.8%"
"148","36389342","TYF1949","Hypertension Diagnosis","Health-Related","The distribution of participants with and without a diagnosis of hypertension.","Without Hypertension","247","83.2%"
"149","36389342","TYF1949","Diabetes Diagnosis","Health-Related","The distribution of participants with and without a diagnosis of diabetes.","With Diabetes","15","5.1%"
"150","36389342","TYF1949","Diabetes Diagnosis","Health-Related","The distribution of participants with and without a diagnosis of diabetes.","Without Diabetes","282","94.9%"
"151","36389342","TYF1949","Myocardial Infarction Diagnosis","Health-Related","The distribution of participants with and without a diagnosis of myocardial infarction.","With Myocardial Infarction",NA,NA
"152","36389342","TYF1949","Myocardial Infarction Diagnosis","Health-Related","The distribution of participants with and without a diagnosis of myocardial infarction.","Without Myocardial Infarction",NA,NA
"153","30368247","NMJ5493","Age","Demographic","The distribution of age groups among the study participants.","Under 45","3,902,697","16.7%"
"154","30368247","NMJ5493","Age","Demographic","The distribution of age groups among the study participants.","45-60","2,930,816","83.3%"
"155","30368247","NMJ5493","Age","Demographic","The distribution of age groups among the study participants.","61-75","NA","NA"
"156","30368247","NMJ5493","Age","Demographic","The distribution of age groups among the study participants.","Over 75","NA","NA"
"157","30368247","NMJ5493","Sex","Demographic","The distribution of male and female participants.","Male",NA,NA
"158","30368247","NMJ5493","Sex","Demographic","The distribution of male and female participants.","Female",NA,NA
"159","30368247","NMJ5493","Region","Geographic","The distribution of participants by region.","Korea",NA,NA
"160","30368247","NMJ5493","Prevalence of Dementia","Health-Related","The prevalence of dementia among the study participants.","With Dementia","32,901","1.12%"
"161","30368247","NMJ5493","Prevalence of Dementia","Health-Related","The prevalence of dementia among the study participants.","Without Dementia","2,897,915","98.88%"
"162","30368247","NMJ5493","Prevalence of Alzheimer's Disease","Health-Related","The prevalence of Alzheimer's disease among the participants with dementia.","With Alzheimer's Disease","24,486","74.4%"
"163","30368247","NMJ5493","Prevalence of Alzheimer's Disease","Health-Related","The prevalence of Alzheimer's disease among the participants with dementia.","Without Alzheimer's Disease","8,415","25.6%"
"164","30368247","NMJ5493","Prevalence of Vascular Dementia","Health-Related","The prevalence of vascular dementia among the participants with dementia.","With Vascular Dementia","3,629","11.0%"
"165","30368247","NMJ5493","Prevalence of Vascular Dementia","Health-Related","The prevalence of vascular dementia among the participants with dementia.","Without Vascular Dementia","29,272","89.0%"
"166","37441712","VJM5162","Age","Demographic","The distribution of age groups among the study participants.","<50",NA,"NA"
"167","37441712","VJM5162","Age","Demographic","The distribution of age groups among the study participants.","50-59","0","0%"
"168","37441712","VJM5162","Age","Demographic","The distribution of age groups among the study participants.","60-69","0","0%"
"169","37441712","VJM5162","Age","Demographic","The distribution of age groups among the study participants.","70+","0","0%"
"170","37441712","VJM5162","Gender","Demographic","The distribution of male and female participants.","Male","0","0%"
"171","37441712","VJM5162","Gender","Demographic","The distribution of male and female participants.","Female","0","0%"
"172","37441712","VJM5162","Region","Geographic","The geographic distribution of study participants.","North","0","0%"
"173","37441712","VJM5162","Region","Geographic","The geographic distribution of study participants.","South","0","0%"
"174","37441712","VJM5162","Region","Geographic","The geographic distribution of study participants.","East","0","0%"
"175","37441712","VJM5162","Region","Geographic","The geographic distribution of study participants.","West","0","0%"
"176","37441712","VJM5162","Prevalence of Diabetes","Health-Related","The distribution of participants with and without diabetes.","With Diabetes","0","0%"
"177","37441712","VJM5162","Prevalence of Diabetes","Health-Related","The distribution of participants with and without diabetes.","Without Diabetes","0","0%"
"178","37441712","VJM5162","Inter-rater Reliability (IRR) of CADASIL Grading","Other","The reliability of the grading system among raters.","Concordant","0","0%"
"179","37441712","VJM5162","Inter-rater Reliability (IRR) of CADASIL Grading","Other","The reliability of the grading system among raters.","Discordant","0","0%"
"180","33655975","YFF4803","Age","Demographic","The distribution of age groups among the elderly participants.","70-74","794","33.3%"
"181","33655975","YFF4803","Age","Demographic","The distribution of age groups among the elderly participants.","75-79","796","33.4%"
"182","33655975","YFF4803","Age","Demographic","The distribution of age groups among the elderly participants.","80-84","796","33.4%"
"183","33655975","YFF4803","Gender","Demographic","The distribution of male and female participants.","Male","1131","47.4%"
"184","33655975","YFF4803","Gender","Demographic","The distribution of male and female participants.","Female","1255","52.6%"
"185","33655975","YFF4803","Education Periods","Other","The distribution of participants based on education years.","Less than 6","994","41.6%"
"186","33655975","YFF4803","Education Periods","Other","The distribution of participants based on education years.","7-12","897","37.6%"
"187","33655975","YFF4803","Education Periods","Other","The distribution of participants based on education years.","Over 13","495","20.8%"
"188","33655975","YFF4803","Marriage Status","Other","The marital status of the participants.","Married","1852","77.6%"
"189","33655975","YFF4803","Marriage Status","Other","The marital status of the participants.","Bereavement, Separation, Divorced, Single","534","22.4%"
"190","33655975","YFF4803","Monthly Income","Other","The distribution of participants based on monthly income.","More than 3 million won","448","18.8%"
"191","33655975","YFF4803","Monthly Income","Other","The distribution of participants based on monthly income.","1-3 million won","1024","42.9%"
"192","33655975","YFF4803","Monthly Income","Other","The distribution of participants based on monthly income.","Less than 1 million won","914","38.3%"
"193","33655975","YFF4803","Residency","Geographic","The distribution of participants by location of residence.","Urban","1943","81.4%"
"194","33655975","YFF4803","Residency","Geographic","The distribution of participants by location of residence.","Rural","443","18.6%"
"195","33655975","YFF4803","Current Smoker","Other","The smoking habit of participants.","Yes","764","32.0%"
"196","33655975","YFF4803","Current Smoker","Other","The smoking habit of participants.","No","1622","68.0%"
"197","33655975","YFF4803","Alcohol Use","Other","The alcohol consumption habits of participants.","Yes","1404","58.8%"
"198","33655975","YFF4803","Alcohol Use","Other","The alcohol consumption habits of participants.","No","982","41.2%"
"199","33655975","YFF4803","Hypertension","Health-Related","The distribution of participants with and without hypertension.","With Hypertension","1351","56.6%"
"200","33655975","YFF4803","Hypertension","Health-Related","The distribution of participants with and without hypertension.","Without Hypertension","1035","43.4%"
"201","33655975","YFF4803","Dyslipidemia","Health-Related","The distribution of participants with and without dyslipidemia.","With Dyslipidemia","788","33.0%"
"202","33655975","YFF4803","Dyslipidemia","Health-Related","The distribution of participants with and without dyslipidemia.","Without Dyslipidemia","1598","67.0"
"203","33655975","YFF4803","Diabetes Mellitus","Health-Related","The distribution of participants with and without diabetes mellitus.","With Diabetes Mellitus","530","22.2%"
"204","33655975","YFF4803","Diabetes Mellitus","Health-Related","The distribution of participants with and without diabetes mellitus.","Without Diabetes Mellitus","1856","77.8%"
"205","33655975","YFF4803","Depression","Other","The prevalence of depression among participants.","With Depression","65","2.7%"
"206","33655975","YFF4803","Depression","Other","The prevalence of depression among participants.","Without Depression","2321","97.3%"
"207","33655975","YFF4803","Osteoarthritis","Other","The occurrence of osteoarthritis among participants.","With Osteoarthritis","528","22.1%"
"208","33655975","YFF4803","Osteoarthritis","Other","The occurrence of osteoarthritis among participants.","Without Osteoarthritis","1858","77.9%"
"209","37830725","ZJI5478","Age","Demographic","Age distribution of the sample.","42.81 ± 10.99","21","100%"
"210","37830725","ZJI5478","Gender","Demographic","Gender distribution of the sample.","Male",NA,NA
"211","37830725","ZJI5478","Gender","Demographic","Gender distribution of the sample.","Female",NA,NA
"212","37830725","ZJI5478","Geographic Location","Geographic","Geographic distribution of the sample.","Coimbra, Portugal","21","100%"
"213","37830725","ZJI5478","Disability Type","Health-Related","Types of disabilities among the sample.","Intellectual and Developmental Disabilities (IDDs)","21","100%"
"214","37698858","EJH8718","Age","Demographic","The age distribution of participants in the study.","60-110 years",NA,NA
"215","37698858","EJH8718","Sex","Demographic","The gender distribution of participants.","Female","20160","58.4%"
"216","37698858","EJH8718","Sex","Demographic","The gender distribution of participants.","Male",NA,"NA"
"217","37698858","EJH8718","Racial Group","Demographic","The racial distribution of participants.","US",NA,NA
"218","37698858","EJH8718","Racial Group","Demographic","The racial distribution of participants.","Brazil",NA,NA
"219","37698858","EJH8718","Racial Group","Demographic","The racial distribution of participants.","Australia",NA,NA
"220","37698858","EJH8718","Racial Group","Demographic","The racial distribution of participants.","China",NA,NA
"221","37698858","EJH8718","Racial Group","Demographic","The racial distribution of participants.","Korea",NA,NA
"222","37698858","EJH8718","Racial Group","Demographic","The racial distribution of participants.","Singapore",NA,NA
"223","37698858","EJH8718","Racial Group","Demographic","The racial distribution of participants.","Central African Republic",NA,NA
"224","37698858","EJH8718","Racial Group","Demographic","The racial distribution of participants.","Republic of Congo",NA,NA
"225","37698858","EJH8718","Racial Group","Demographic","The racial distribution of participants.","Nigeria",NA,NA
"226","37698858","EJH8718","Racial Group","Demographic","The racial distribution of participants.","Germany",NA,NA
"227","37698858","EJH8718","Racial Group","Demographic","The racial distribution of participants.","Spain",NA,NA
"228","37698858","EJH8718","Racial Group","Demographic","The racial distribution of participants.","Italy",NA,NA
"229","37698858","EJH8718","Racial Group","Demographic","The racial distribution of participants.","France",NA,NA
"230","37698858","EJH8718","Racial Group","Demographic","The racial distribution of participants.","Sweden",NA,NA
"231","37698858","EJH8718","Racial Group","Demographic","The racial distribution of participants.","Greece",NA,NA
"232","38229871","SFA5246","Sociodemographic","Demographic","Distribution of sociodemographic characteristics of study participants.","Age",NA,NA
"233","38229871","SFA5246","Sociodemographic","Demographic","Distribution of sociodemographic characteristics of study participants.","Gender",NA,NA
"234","38229871","SFA5246","Sociodemographic","Demographic","Distribution of sociodemographic characteristics of study participants.","Region",NA,NA
"235","38229871","SFA5246","Basal Comorbidities","Health-Related","Presence of different comorbidities among study participants.","Dementia",NA,NA
"236","38229871","SFA5246","Basal Comorbidities","Health-Related","Presence of different comorbidities among study participants.","Heart Failure",NA,NA
"237","38229871","SFA5246","Basal Comorbidities","Health-Related","Presence of different comorbidities among study participants.","Kidney Disease",NA,NA
"238","38229871","SFA5246","Basal Comorbidities","Health-Related","Presence of different comorbidities among study participants.","Cancer",NA,NA
"239","38229871","SFA5246","Basal Comorbidities","Health-Related","Presence of different comorbidities among study participants.","Arterial Hypertension",NA,NA
"240","38229871","SFA5246","Basal Comorbidities","Health-Related","Presence of different comorbidities among study participants.","Diabetes",NA,NA
"241","38229871","SFA5246","Basal Comorbidities","Health-Related","Presence of different comorbidities among study participants.","Ischemic Heart Disease",NA,NA
"242","38229871","SFA5246","Basal Comorbidities","Health-Related","Presence of different comorbidities among study participants.","Cerebrovascular Diseases",NA,NA
"243","38229871","SFA5246","Basal Comorbidities","Health-Related","Presence of different comorbidities among study participants.","Peripheral Vascular Diseases",NA,NA
"244","38229871","SFA5246","Basal Comorbidities","Health-Related","Presence of different comorbidities among study participants.","Leukemia",NA,NA
"245","38229871","SFA5246","Basal Comorbidities","Health-Related","Presence of different comorbidities among study participants.","Dyslipidemia",NA,NA
"246","38229871","SFA5246","Basal Comorbidities","Health-Related","Presence of different comorbidities among study participants.","Respiratory Diseases",NA,NA
"247","31617930","YPP3638","Age","Demographic","The distribution of age among participants.",NA,"70.9 (8.3) years",NA
"248","31617930","YPP3638","Gender","Demographic","The distribution of gender among participants.","Female","90","54.9%"
"249","31617930","YPP3638","Gender","Demographic","The distribution of gender among participants.","Male","74","45.1%"
