"","pmid","year","journal","articletitle","abstract"
"24","37830725","2023","Healthcare (Basel, Switzerland)","Physical Fitness Variables, General Health, Dementia and Quality of Life in Individuals with Intellectual and Developmental Disabilities: A Cross-Sectional Study.","The average life expectancy of individuals with intellectual and developmental disabilities (IDDs) is increasing. However, living more years does not mean living better, leading to the need for research on comorbidities associated with the aging process. Associated with this process are the physical characteristics most prevalent in an individual with IDD: low levels of all physical capacities, the accumulation of central fat, hyperglycemia, dyslipidemia, and hypertension, variables considered to be some of the main risk factors of the onset of metabolic and cardiovascular diseases, and variables that can negatively impact quality of life (QoL). Therefore, the aim of this study is to evaluate a sample of 21 institutionalized adults with IDD (42.81 ± 10.99 years old) in terms of their anthropometric characteristics, body composition, general health status, functional capacity, neuromuscular capacity, and dementia/cognitive function, and the possible associations with QoL. All assessments were performed in the laboratory of the Faculty of Sport Sciences and Physical Education-University of Coimbra. Participants, in the present study, have low levels of physical fitness and high metabolic and cardiovascular markets, which need to be improved. On the other hand, functional and neuromuscular ability seems to be associated with QoL (p ≤ 0.05). This study highlights the role of primary and secondary care providers in diagnosis, prevention, and supporting individuals with IDDs to promote QoL."
"25","37711969","2023","Cerebral circulation - cognition and behavior","Cross-sectional associations between short and mid-term blood pressure variability, cognition, and vascular stiffness in older adults.","High blood pressure variability (BPV), particularly in older age, appears to be an independent risk factor for incident dementia. The current study aimed to investigate the association between different BPV measures (short- and mid-term BPV including circadian patterns) and cognitive functioning as well as vascular stiffness measures to better understand the role that BPV plays in cognitive impairment. 70 older adults (60-80-year-olds) without dementia completed a cognitive test battery and had their blood pressure (BP) assessed via a 24-hour ambulatory BP monitor (divided into sleep and wake for short-term BPV) and 4-day morning and evening home-based BP monitor (for day-to-day BPV). Arterial stiffness was evaluated via pulse wave analysis and pulse wave velocity (PWV) and cerebrovascular pulsatility was assessed via transcranial doppler sonography of the middle cerebral arteries. High systolic as well as diastolic short- and mid-term BPV were associated with poorer cognitive functioning, independent of the mean BP. Higher short-term BPV was associated with poorer attention and psychomotor speed, whilst day-to-day BPV was negatively linked with executive functioning. Circadian BP patterns (dipping and morning BP surge) showed no significant relationships with cognition after adjusting for covariates. Higher systolic short-term BPV was associated with higher arterial stiffness (PWV) and higher diastolic day-to-day BPV was linked with lower arterial stiffness. No significant associations between BPV measures and cerebrovascular pulsatility were present. High BPV, independently of the mean BP, is associated with lower cognitive performance and increased arterial stiffness in older adults without clinically-relevant cognitive impairment. This highlights the role of systolic and diastolic BPV as a potential early clinical marker for cognitive impairment."
"26","36407288","2022","Dementia and neurocognitive disorders","Study Design and Baseline Results in a Cohort Study to Identify Predictors for the Clinical Progression to Mild Cognitive Impairment or Dementia From Subjective Cognitive Decline (CoSCo) Study.","Subjective cognitive decline (SCD) refers to the self-perception of cognitive decline with normal performance on objective neuropsychological tests. SCD, which is the first help-seeking stage and the last stage before the clinical disease stage, can be considered to be the most appropriate time for prevention and treatment. This study aimed to compare characteristics between the amyloid positive and amyloid negative groups of SCD patients. A cohort study to identify predictors for the clinical progression to mild cognitive impairment (MCI) or dementia from subjective cognitive decline (CoSCo) study is a multicenter, prospective observational study conducted in the Republic of Korea. In total, 120 people aged 60 years or above who presented with a complaint of persistent cognitive decline were selected, and various risk factors were measured among these participants. Continuous variables were analyzed using the Wilcoxon rank-sum test, and categorical variables were analyzed using the χ2 test or Fisher's exact test. Logistic regression models were used to assess the predictors of amyloid positivity. The multivariate logistic regression model indicated that amyloid positivity on PET was related to a lack of hypertension, atrophy of the left temporal lateral and entorhinal cortex, low body mass index, low waist circumference, less body and visceral fat, fast gait speed, and the presence of the apolipoprotein E ε4 allele in amnestic SCD patients. The CoSCo study is still in progress, and the authors aim to identify the risk factors that are related to the progression of MCI or dementia in amnestic SCD patients through a two-year follow-up longitudinal study."
"27","36389342","2022","Cerebral circulation - cognition and behavior","Brain patterns of pace - but not rhythm - are associated with vascular disease in older adults.","Distinct domains of gait such as pace and rhythm are linked to an increased risk for cognitive decline, falls, and dementia in aging. The brain substrates supporting these domains and underlying diseases, however, remain relatively unknown. The current study aimed to identify patterns of gray matter volume (GMV) associated with pace and rhythm, and whether these patterns vary as a function of vascular and non-vascular comorbidities. A cross-sectional sample of 297 older adults (M Age = 72.5 years ± 7.2 years, 43% women) without dementia was drawn from the Tasmanian Study of Cognition and Gait (TASCOG). Factor analyses were used to reduce eight quantitative gait variables into two domains. The ""pace"" domain was primarily composed of gait speed, stride length, and double support time. The ""rhythm"" domain was composed of swing time, stance time, and cadence. Multivariate covariance-based analyses adjusted for age, sex, education, total intracranial volume, and presence of mild cognitive impairment identified gray matter volume (GMV) patterns associated with pace and rhythm, as well as participant-specific expression (or factor) scores for each pattern. Pace was positively associated with GMV in the right superior temporal sulcus, bilateral supplementary motor areas (SMA), and bilateral cerebellar regions. Rhythm was positively associated with GMV in bilateral SMA, prefrontal, cingulate, and paracingulate cortices. The GMV pattern associated with pace was less expressed in participants with any vascular disease; this association was also found independently with hypertension, diabetes, and myocardial infarction. Both pace and rhythm domains of gait were associated with the volume of brain structures that have been linked to controlled and automatic aspects of gait control, as well as with structures involved in multisensory integration. Only the brain structures associated with pace, however, were associated with vascular disease."
"28","36292294","2022","Healthcare (Basel, Switzerland)","Sex-Specific Association between Underlying Diseases and the Severity and Mortality Due to COVID-19 Infection: A Retrospective Observational Cohort Analysis of Clinical Epidemiological Information Collected by the Korea Disease Control and Prevention Agency.","This study is a retrospective observational cohort analysis aiming to explore the relationship between underlying disease and the severity and mortality rate of coronavirus disease (COVID-19) by sex. As sample subjects, 5077 confirmed COVID-19 patients were selected. The dependent variable was each patient's clinical severity, dichotomized into two groups: clinical non-severity group and clinical severity group (including death group). Eleven underlying diseases were considered variables of interest, and each was dichotomized. Binary multivariate logistic regression model analyses were performed. Our results showed that the proportion of male patients (7.1%) in the clinical severity group was significantly higher than that of female patients (4.5%) and that the risk of being in the clinical severity group was higher in patients with specific underlying diseases. The underlying diseases varied: in males, rheumatism and autoimmune (adjusted odds ratio (aOR) = 6.69, 95% confidence interval (CI) = 1.60-27.98), dementia (aOR = 4.09, 95% CI = 2.14-7.82), cancer (aOR = 2.69, 95% CI = 1.27-5.69), and diabetes mellitus (aOR = 1.81, 95% CI = 1.18-2.77); in females, chronic kidney disease (aOR = 5.09, 95% CI = 1.87-13.86), dementia (aOR = 3.08, 95% CI = 1.18-5.23), diabetes mellitus (aOR = 1.87, 95% CI = 1.15-3.02), and hypertension (aOR = 1.73, 95% CI = 1.08-2.78). This study identified certain underlying diseases related to the high risk of being in clinically severe conditions and found that they differ between sexes. Prevention and treatment measure should be developed to reduce severity or mortality in confirmed COVID-19, based on underlying diseases and sex. However, further in-depth research is required to explore whether the findings and suggestions of this study can be generalized to other countries."
"29","36092174","2022","Acta ortopedica brasileira","EPIDEMIOLOGICAL PROFILE OF PROXIMAL FEMORAL FRACTURES IN OLDER ADULTS AT THE REGIONAL HOSPITAL IN COTIA - SP, BRAZIL.","To identify the epidemiological profile of older patients with proximal femoral fractures treated at the Hospital Regional de Cotia, SP - Brazil, and describe the nutritional status of these patients. Data were obtained from the electronic patient medical records from August 2020 to April 2021. The variables studied were age, gender, ethnicity, weight and height (for BMI calculation), and presence of comorbidities. Fracture circumstances were also assessed, including trauma mechanism, anatomical location, and treatment. Moreover, the nutritional profile of patients was assessed using the Mini Nutritional Assessment (MAN). Most patients were white women, with a mean age of 80 years and an average BMI of 23.55 kg/m2. Almost all patients suffered the fracture at home and the most common comorbidities were systemic arterial hypertension, diabetes mellitus, and Alzheimer's disease. Most patients were considered to be malnourished or at risk of malnutrition. The nutritional status of older adults seems to be directly related to the risk of proximal fractures of the femur. Level of Evidence II, Retrospective Study."
"30","36043138","2022","Brain communications","Brain atrophy in middle age using magnetic resonance imaging scans from Japan's health screening programme.","Although health screening plays a key role in the management of chronic diseases associated with lifestyle choices, brain health is not generally monitored, remaining a black box prior to the manifestation of clinical symptoms. Japan is unique in this regard, as brain MRI scans have been widely performed for more than two decades as part of Brain Dock, a comprehensive health screening programme. A vast number of stored images (well over a million) of longitudinal scans and extensive health data are available, offering a valuable resource for investigating the prevalence of various types of brain-related health conditions occurring throughout adulthood. In this paper, we report on the findings of our preliminary quantitative analysis of T1-weighted MRIs of the brain obtained from 13 980 subjects from three participating sites during the period 2015-19. We applied automated segmentation analysis and observed age-dependent volume loss of various brain structures. We subsequently investigated the effects of scan protocols and the feasibility of calibration for pooling the data. Last, the degree of brain atrophy was correlated with four known risk factors of dementia; blood glucose level, hypertension, obesity, and alcohol consumption. In this initial analysis, we identified brain ventricular volume as an effective marker of age-dependent brain atrophy, being highly sensitive to ageing and evidencing strong robustness against protocol variability. We established the normal range of ventricular volumes at each age, which is an essential first step for establishing criteria used to interpret data obtained for individual participants. We identified a subgroup of individuals at midlife with ventricles that substantially exceeded the average size. The correlation studies revealed that all four risk factors were associated with greater ventricular volumes at midlife, some of which reached highly significant sizes. This study demonstrates the feasibility of conducting a large-scale quantitative analysis of existing Brain Dock data in Japan. It will importantly guide future efforts to investigate the prevalence of large ventricles at midlife and the potential reduction of this prevalence, and hence of dementia risk, through lifestyle changes."
"31","35911542","2022","Frontiers in cardiovascular medicine","Light intensity physical activity is beneficially associated with brain volume in older adults with high cardiovascular risk.","Older people with high cardiovascular risk, including those without cardiovascular diseases, are an at-risk population for dementia. Regular physical activity is generally recommended to maintain brain health; however, the optimal intensity of physical activity for maintaining brain volume in older adults with cardiovascular risk remains unclear. We examined the associations between intensity-specific physical activity and brain volume stratified by absolute cardiovascular risk level in older adults without cardiovascular diseases. This cross-sectional study involved 725 community-dwelling older Japanese adults without cardiovascular diseases. We estimated absolute cardiovascular risk using the World Health Organization risk estimation charts, which include variables such as age, sex, diabetes mellitus, smoking, systolic blood pressure, and total cholesterol, and stratified cardiovascular risk level into three risk categories: low (≤ 9%), moderate (10-14%), and high (≥15%). We measured daily physical activity using a triaxial accelerometer, and calculated the average time spent in moderate-to-vigorous intensity physical activity (MVPA) and light intensity physical activity (LPA). We performed brain T1-weighted magnetic resonance imaging and calculated the volume of the cortical gray matter, subcortical gray matter, and cerebral white matter, using the FreeSurfer software. In the overall sample, multivariable linear regression analysis showed that greater MVPA was significantly associated with greater volume of the cortical gray matter and cerebral white matter, and greater LPA was significantly associated with greater volume of the cerebral white matter. Additionally, in the analysis of the sample stratified by absolute cardiovascular risk level, cerebral white matter volume was significantly associated with both MVPA and LPA in the high cardiovascular risk group. The association between physical activity and brain volume differed according to cardiovascular risk level in community-dwelling older adults. In a population at high cardiovascular risk, maintaining or increasing LPA might be a practical and achievable strategy for healthy brain aging."
"32","35897033","2022","Diabetology & metabolic syndrome","Risk factors for cognitive decline in type 2 diabetes mellitus patients in Brazil: a prospective observational study.","Type 2 Diabetes Mellitus (T2DM) patients are twice as likely to develop dementia. The study's goal was to evaluate cognitive performance and risk factors for cognitive decline in this population. Prospective observational study was conducted with 400 T2DM adults, of whom, during routine baseline and follow-up appointments, had socio-demographic, clinical, and laboratory data collected, and underwent physical examination, screening for depression symptoms (Patient Health Questionaire-9-PHQ-9), and cognitive tests: Mini-Mental State Examination (MMSE), Semantic Verbal Fluency Test, Trail Making Test A/B, and Word Memory Tests. Each cognitive test score was converted to a z-score and its average resulted in a new variable called Global Cognitive z-Score [GCS(z)]. Averages of the cognitive test scores and GCS(z) at both moments were compared by the Student's T-Test for paired samples. Multivariate binary logistic regression models were built to assess the association of GCS(z) < zero with risk factors for cognitive decline at the baseline and follow-up. After exclusions, 251 patients were eligible, being 56.6% female, mean age of 61.1 (± 9.8) years, 12.6 (± 8.9) years of DM duration, and 7.6 (± 4.2) years of school education. Follow-up had 134 patients reevaluated and took place after a mean of 18.4(± 5.0) months. Eleven (14%) patients with a GCS(z) ≥ 0 at baseline turned into a GCS(z) < 0 at follow-up. There were no significant differences between the means of cognitive test scores and GCS(z) at the two evaluation moments. At the baseline, the multivariate logistic regression model identified five risk factors associated with GCS(z) < zero: age ≥ 65 years, schooling ≤ 6 years, arterial hypertension, depression symptoms, and diabetic retinopathy (DR), with odds ratio (OR) and 95% confidence interval (CI95%) respectively: 5.46 (2.42-12.34); 12.19 (5.62-26.46); 2.55 (0.88-7.39); 3.53 (1.55-8.07) e 2.50 (1.18-5.34). At follow-up, the risk factors for GCS(z) < zero were: schooling ≤ 6 years, DM duration ≥ 10 years, depression symptoms, arterial hypertension, and cardiovascular disease (CVD), OR and CI95% respectively: 10.15 (3.68-28.01); 2.68 (0.96-7.48); 4.92 (1.77-13.70); 7.21 (1.38-35.71) e 5.76 (1.93-17.18). Based on our results, cognitive evaluation and follow-up should be incorporated on the routine of T2DM patients, especially for those with advanced age, low education level, prolonged DM duration, arterial hypertension, depression symptoms, CVD, and DR."
"33","35892011","2022","Clinical kidney journal","Visit-to-visit blood pressure variability and risk of dementia in chronic kidney disease patients: why are blood pressure changes so important in cognitive functions?","Chronic kidney disease (CKD) is associated with cognitive functional impairment or dementia in addition to cardiovascular diseases. Aging of the population and the increasing prevalence of CKD in elderly patients are making dementia more prevalent. Blood pressure (BP) variability is an important risk factor for dementia. Although ample data link high BP variability with the risk of dementia in the general population, data on CKD patients are scarce. An observational cohort study conducted by Park et al., including 103 139 patients, demonstrated a strong association between higher visit-to-visit BP variability and increased risk of dementia in CKD patients. Both higher systolic and diastolic BP variabilities were associated with any type of dementia, including Alzheimer's and vascular dementia. Physicians must be aware of BP variability when evaluating CKD patients with hypertension."
"34","36324704","2021","Cerebral circulation - cognition and behavior","Mini-mental state examination (MMSE) scores in elderly Jordanian population.","The Mini-Mental State Examination (MMSE) is a simple informative and validated screening test of cognitive functions. No data of MMSE scores has been published about elderly Jordanian population
Objective: To study the MMSE scores in the elderly Jordanian population (defined as age of 50 years or more). This was a cross sectional study. A 250 healthy elderly Jordanians were interviewed and tested for their MMSE score. Their scores were analyzed and the effect of age, gender, education, marital status, diabetes mellitus (DM), hypertension (HTN), smoking, dyslipidemia, heart disease (HD), and family history of dementia (FHD) on the score was studied. MMSE scores of 236 elderly subjects, aged 63±8.4 years (range 50-86 years) were analyzed. There were 111 (47%) males. There was a direct correlation between MMSE score and education level. People with a higher education (college) had the highest scores in comparison with people who are illiterates or have a high school level. The score correlated negatively with age (Pearson correlation r = -0.23, p = 0.00). Other studied variables did not correlate with score on multivariate analysis. Jordanians ≥50 years old with no previous brain disease scored 26.7 ± 3.2. Education was the most important determining factor of this score. the score showed also a negative correlation with age. We suggest that in this population a cut off score of 24 for those with high education beyond high school and 21 for those with up to high school education and it is not appropriate for illiterate."
"35","34483825","2021","Frontiers in neuroscience","Association of Hearing Acuity and Cognitive Function Among a Low-Income Elderly Population in Rural China: A Population-Based Cross-Sectional Study.","Hearing loss is a modifiable risk factor for dementia and cognitive decline. However, the association between cognition and hearing acuity at different frequencies is unknown. We aimed to assess the relationships between hearing acuity at different frequencies with global cognitive function and five domains of cognition among a low-income elderly population in northern rural China. A population-based cross-sectional study was conducted to collect basic information from elderly residents aged 60 years and older in rural areas of Tianjin, China from April 2012 to November 2013. Pure tone averages (PTAs) at different frequencies in the ear with better hearing and Mini-Mental State Examination (MMSE) scores were measured, and the relationships between these variables were assessed. A total of 737 residents aged 60 years or more were enrolled in this study, and the prevalence of hearing impairment was 60.7%. After adjusting for sex, age, education, income, smoking, drinking, systolic blood pressure (SBP), total cholesterol (TC), and low-density lipoprotein cholesterol level (LDL-C), MMSE score and immediate recall score were negatively associated with overall PTA (OPTA) at four frequencies (0.5, 1, 2, and 4 kHz), PTA at low frequencies (LPTA; 0.5, 1, and 2 kHz), and PTA at high frequencies (HPTA; 3, 4, and 8 kHz) in the ear with better hearing. Moreover, orientation score was negatively associated with OPTA and LPTA, and the attention and calculation scores were negatively associated with OPTA and HPTA. Each 10-dB increase in OPTA was associated with a MMSE score decrease of 0.464. Each 10-dB increase in LPTA or HPTA was associated with a MMSE score decrease of 0.441 (95% CI: -0.795, -0.086) and 0.351 (95% CI: -0.592, -0.110), respectively. The present study demonstrated significant but weak relationships between OPTA, LPTA, and HPTA with global cognitive function, as defined using MMSE scores; these relationships were independent of age, education, lifestyle factors, and laboratory test values. These results indicated that hearing was associated with cognitive decline among older individuals, who should be screened routinely to identify risk for cognitive decline."
"36","34199198","2021","Journal of clinical medicine","Risk Factors of Infection, Hospitalization and Death from SARS-CoV-2: A Population-Based Cohort Study.","We conducted a prospective population-based cohort study to assess risk factors for infection, hospitalization, and death from SARS-CoV-2. The study comprised the people covered by the Health Service of Navarre, Spain. Sociodemographic variables and chronic conditions were obtained from electronic healthcare databases. Confirmed infections, hospitalizations, and deaths from SARS-CoV-2 were obtained from the enhanced epidemiological surveillance during the second SARS-CoV-2 epidemic surge (July-December 2020), in which diagnostic tests were widely available. Among 643,757 people, 5497 confirmed infections, 323 hospitalizations, 38 intensive care unit admissions, and 72 deaths from SARS-CoV-2 per 100,000 inhabitants were observed. A higher incidence of confirmed infection was associated with people aged 15-29 years, nursing home residents, healthcare workers, people born in Latin America or Africa, as well as in those diagnosed with diabetes, cardiovascular disease, chronic obstructive pulmonary disease (COPD), chronic kidney disease, dementia, severe obesity, hypertension and functional dependence. The risk of hospitalization in the population was associated with males, higher age, nursing home residents, Latin American or African origin, and those diagnosed with immunodeficiency, diabetes, cardiovascular disease, COPD, asthma, kidney disease, cerebrovascular disease, cirrhosis, dementia, severe obesity, hypertension and functional dependence. The risk of death was associated with males, higher age, nursing home residents, Latin American origin, low income level, immunodeficiency, diabetes, cardiovascular disease, COPD, kidney disease, dementia, and functional dependence. This study supports the prioritization of the older population, nursing home residents, and people with chronic conditions and functional dependence for SARS-CoV-2 prevention and vaccination, and highlights the need for additional preventive support for immigrants."
"37","34113789","2021","Journal of Alzheimer's disease reports","Aortic Valve Calcification Is Associated with Future Cognitive Impairment.","While an association between atherosclerosis and dementia has been identified, few studies have assessed the longitudinal relationship between aortic valve calcification (AVC) and cognitive impairment (CI). We sought to determine whether AVC derived from lung cancer screening CT (LCSCT) was associated with CI in a moderate-to-high atherosclerotic risk cohort. This was a single site, retrospective analysis of 1401 U.S. veterans (65 years [IQI: 61, 68] years; 97%male) who underwent quantification of AVC from LCSCT indicated for smoking history. The primary outcome was new diagnosis of CI identified by objective testing (Mini-Mental Status Exam or Montreal Cognitive Assessment) or by ICD coding. Time-to-event analysis was carried out using AVC as a continuous variable. Over 5 years, 110 patients (8%) were diagnosed with CI. AVC was associated with new diagnosis of CI using 3 Models for adjustment: 1) age (HR: 1.104; CI: 1.023-1.191; p = 0.011); 2) Model 1 plus hypertension, hyperlipidemia, diabetes, CKD stage 3 or higher (glomerular filtration rate < 60 mL/min) and CAD (HR: 1.097; CI: 1.014-1.186; p = 0.020); and 3) Model 2 plus CVA (HR: 1.094; CI: 1.011-1.182; p = 0.024). Sensitivity analysis demonstrated that the association between AVC and new diagnosis of CI remained significant upon exclusion of severe AVC (HR: 1.100 [1.013-1.194]; p = 0.023). Subgroup analysis demonstrated that this association remained significant when including education in the multivariate analysis (HR: 1.127 [1.030-1.233]; p = 0.009). This is the first study demonstrating that among mostly male individuals who underwent LCSCT, quantified aortic valve calcification is associated with new diagnosis of CI."
"38","34071739","2021","Brain sciences","Obstructive Sleep Apnea and Cognitive Decline: A Review of Potential Vulnerability and Protective Factors.","Around 40% of dementia risk is attributable to modifiable risk factors such as physical inactivity, hypertension, diabetes and obesity. Recently, sleep disorders, including obstructive sleep apnea (OSA), have also been considered among these factors. However, despite several epidemiological studies investigating the link between OSA and cognitive decline, there is still no consensus on whether OSA increases the risk of dementia or not. Part of the heterogeneity observed in previous studies might be related to some individual characteristics that modulate the association between OSA and cognitive decline. In this narrative review, we present these individual characteristics, namely, age, sex, menopause, obesity, diabetes mellitus, hypertension, cardiovascular diseases, smoking, excessive alcohol consumption, depression, air pollution, Apolipoprotein E ε4 allele, physical activity, and cognitive reserve. To date, large cohort studies of OSA and cognitive decline tended to statistically control for the effects of these variables, but whether they interact with OSA to predict cognitive decline remains to be elucidated. Being able to better predict who is at risk of cognitive decline when they have OSA would improve clinical management and treatment decisions, particularly when patients present relatively mild OSA."
"39","33126696","2020","Biomedicines","Depression as a Risk Factor for Dementia and Alzheimer's Disease.","Preventing the onset of dementia and Alzheimer's disease (AD), improving the diagnosis, and slowing the progression of these diseases remain a challenge. The aim of this study was to elucidate the association between depression and dementia/AD and to identify possible relationships between these diseases and different sociodemographic and clinical features. In this regard, a case-control study was conducted in Spain in 2018-2019. The definition of a case was: A person ≥ 65 years old with dementia and/or AD and a score of 5-7 on the Global Deterioration Scale (GDS). The sample consisted of 125 controls; among the cases, 96 had dementia and 74 had AD. The predictor variables were depression, dyslipidemia, type 2 diabetes mellitus, and hypertension. The results showed that depression, diabetes mellitus, and older age were associated with an increased likelihood of developing AD, with an Odds Ratio (OR) of 12.9 (95% confidence interval (CI): 4.3-39.9), 2.8 (95% CI: 1.1-7.1) and 1.15 (95% CI: 1.1-1.2), respectively. Those subjects with treated dyslipidemia were less likely to develop AD (OR 0.47, 95% CI: 0.22-1.1). Therefore, depression and diabetes mellitus increase the risk of dementia, whereas treated dyslipidemia has been shown to reduce this risk."
"40","37015322","2023","Journal of the American Medical Directors Association","Racial/Ethnic Differences in Risk Factors Associated With Severe COVID-19 Among Older Adults With ADRD.","To examine racial/ethnic differences in risk factors, and their associations with COVID-19-related outcomes among older adults with Alzheimer's disease and related dementias (ADRD). Observational study. National Medicare claims data and the Minimum Data Set 3.0 from April 1, 2020, to December 31, 2020, were linked in this study. We included community-dwelling fee-for-service Medicare beneficiaries with ADRD, diagnosed with COVID-19 between April 1, 2020, and December 1, 2020 (N = 138,533). Two outcome variables were defined: hospitalization within 14 days and death within 30 days of COVID-19 diagnosis. We obtained information on individual sociodemographic characteristics, chronic conditions, and prior health care utilization based on the Medicare claims and the Minimum Dataset. Machine learning methods, including lasso regression and discriminative pattern mining, were used to identify risk factors in racial/ethnic subgroups (ie, White, Black, and Hispanic individuals). The associations between identified risk factors and outcomes were evaluated using logistic regression and compared across racial/ethnic subgroups using the coefficient comparison approach. We found higher risks of COVID-19-related outcomes among Black and Hispanic individuals. The areas under the curve of the models with identified risk factors were 0.65 to 0.68 for mortality and 0.61 to 0.62 for hospitalization across racial/ethnic subgroups. Although some identified risk factors (eg, age, gender) for COVID-19-related outcomes were common among all racial/ethnic subgroups, other risk factors (eg, hypertension, obesity) varied by racial/ethnic subgroups. Furthermore, the associations between some common risk factors and COVID-19-related outcomes also varied by race/ethnicity. Being male was related to 138.2% (95% CI: 1.996-2.841), 64.7% (95% CI: 1.546-1.755), and 37.1% (95% CI: 1.192-1.578) increased odds of death among Hispanic, White, and Black individuals, respectively. In addition, the racial/ethnic disparity in COVID-19-related outcomes could not be completely explained by the identified risk factors. Racial/ethnic differences were detected in the likelihood of having COVID-19-related outcomes, specific risk factors, and relationships between specific risk factors and COVID-19-related outcomes. Future research is needed to elucidate the reasons for these differences."
"41","37225431","2023","Neurology","Association of Chronic Kidney Disease With Plasma NfL and Other Biomarkers of Neurodegeneration: The H70 Birth Cohort Study in Gothenburg.","Studies associate chronic kidney disease (CKD) with neurodegeneration. This study investigated the relationship between kidney function, blood, CSF, and structural brain MRI markers of neurodegeneration in a sample including individuals with and without CKD. Participants from the Gothenburg H70 Birth Cohort Study, with data on plasma neurofilament light (P-NfL), estimated glomerular filtration rate (eGFR), and structural brain MRI were included. Participants were invited to also have the CSF collected. The primary endpoint of this study was to determine any association between CKD and P-NfL. Secondary endpoints included cross-sectional associations between CKD, eGFR, and CSF-derived and MRI-derived markers of neurodegeneration and Alzheimer disease (AD) pathology (MRI: cortical thickness, hippocampal volume, lateral ventricle volume, and white matter lesion volume; CSF: β-amyloid (Aβ) 42, Aβ42/40, Aβ42/p-tau, t-tau, p-tau, and NfL). Participants with P-NfL and eGFR at baseline were re-examined on eGFR, 5.5 (5.3-6.1) years (median; IQR) after the first visit, and the predictive value of P-NfL levels on incident CKD was estimated longitudinally, using a Cox proportional hazards model. We included 744 participants, 668 without CKD (age 71 [70-71] years, 50% males) and 76 with CKD (age 71 [70-71] years, 39% males). Biomarkers from the CSF were analyzed in 313 participants. A total of 558 individuals returned for a re-examination of eGFR (75% response rate, age 76 [76; 77] years, 48% males, 76 new cases of CKD). Participants with CKD had higher P-NfL levels than those with normal kidney function (median; 18.8 vs 14.1 pg/mL, p < 0.001), while MRI and CSF markers were similar between the groups. P-NfL was independently associated with CKD after adjustment for confounding variables, including hypertension and diabetes (OR; 3.231, p < 0.001), in a logistic regression model. eGFR and CSF Aβ 42/40: R = 0.23, p = 0.004 correlated in participants with Aβ42 pathology. P-NfL levels in the highest quartile were associated with incident CKD at follow-up (HR; 2.39 [1.21: 4.72]). In a community-based cohort of 70-year olds, P-NfL was associated with both prevalent and incident CKD, while CSF and/or imaging measures did not differ by CKD status. Participants with CKD and dementia presented similar levels of P-NfL."
"42","37203319","2023","Anales del sistema sanitario de Navarra","[Corticoid treatment and SARS-CoV-2 variants: two independent factors associated with COVID-19 mortality in a Spanish regional hospital].","Pandemic inter-wave hospital admissions and COVID-19-related mortality rates vary greatly. Some of the factors that may be playing part in this are the profile of the patients, viral variants, pharmacological treatments, or preventive measures. This work aimed to analyze the factors associated with mortality in COVID-19 patients admitted to hospital during 2020-2021. Retrospective cohort study with COVID-19 patients admitted to Hospital de Barbastro (Spain) during 2020-2021. Data were collected from the Spanish Conjunto Mínimo Básico de Datos and microbiology and electronic prescription records. During the study period, 908 patients were consecutively admitted for COVID-19 (median age 70 years, 57.2% males); 162 (17.8%) patients died. We identified seven successive epidemiological waves. The following variables significantly associated to higher mortality: age, arterial hypertension, chronic renal failure, dementia, chronic obstructive pulmonary disease, heart failure, prior stroke, Charlson index, and wave 2; wave 4 was associated to greater survival. The multivariate analysis showed that age (OR=1.11; 95% CI: 1.09-1.14), chronic obstructive pulmonary disease (OR=2.33; 95% CI: 1.18-4.57), wave 2 (OR=2.57; 95% CI: 1.10-6.00), and wave 3 (OR=2.94; 95% CI: 1.17-7.38) associated with higher mortality. Glucocorticoid treatment was the only protective factor (OR=0.29; 95%CI: 0.14-0.62). This study confirms the therapeutic utility of glucocorticoids to reduce in-hospital mortality due to COVID-19. Heterogeneous mortality rates between the different COVID-19 waves suggest a direct role of viral variants as determinants of lethality, regardless of the patient's history."
"43","37079031","2023","Journal of neurology","Retinal thickness as a biomarker of cognitive impairment in manifest Huntington's disease.","Cognitive decline has been reported in premanifest and manifest Huntington's disease but reliable biomarkers are lacking. Inner retinal layer thickness seems to be a good biomarker of cognition in other neurodegenerative diseases. To explore the relationship between optical coherence tomography-derived metrics and global cognition in Huntington's Disease. Thirty-six patients with Huntington's disease (16 premanifest and 20 manifest) and 36 controls matched by age, sex, smoking status, and hypertension status underwent macular volumetric and peripapillary optical coherence tomography scans. Disease duration, motor status, global cognition and CAG repeats were recorded in patients. Group differences in imaging parameters and their association with clinical outcomes were analyzed using linear mixed-effect models. Premanifest and manifest Huntington's disease patients presented thinner retinal external limiting membrane-Bruch's membrane complex, and manifest patients had thinner temporal peripapillary retinal nerve fiber layer compared to controls. In manifest Huntington's disease, macular thickness was significantly associated with MoCA scores, inner nuclear layer showing the largest regression coefficients. This relationship was consistent after adjusting for age, sex, and education and p-value correction with False Discovery Rate. None of the retinal variables were related to Unified Huntington's Disease Rating Scale score, disease duration, or disease burden. Premanifest patients did not show a significant association between OCT-derived parameters and clinical outcomes in corrected models. In line with other neurodegenerative diseases, OCT is a potential biomarker of cognitive status in manifest HD. Future prospective studies are needed to evaluate OCT as a potential surrogate marker of cognitive decline in HD."
