"","pmid","field","value","annotators","var_freq","precision"
"37","33798213","STUDY DESIGN","RETROSPECTIVE COHORT STUDY",10,10,1
"38","33798213","POPULATION SIZE","221,803",10,10,1
"39","33798213","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,6,0.6
"40","33798213","MAJOR RESULTS","ONE THIRD OF HYPERTENSIVE AND ONE SIXTH OF NORMOTENSIVE ADULTS EXHIBIT HIGH VISIT-TO-VISIT BLOOD PRESSURE VARIABILITY, WITH VARIATIONS ACROSS DIFFERENT ANTIHYPERTENSIVE TREATMENT REGIMENS AND COMORBIDITIES.",10,1,0.1
"41","33798213","EFFECT SIZE","0.75",10,4,0.4
"42","33798213","LOWER CONFIDENCE INTERVAL","0.60",10,4,0.4
"43","33798213","UPPER CONFIDENCE INTERVAL","0.90",10,4,0.4
"44","33798213","P-VALUE","0.001",10,3,0.3
"45","31444142","STUDY DESIGN","PROSPECTIVE COHORT STUDY",10,7,0.7
"46","31444142","POPULATION SIZE","502 PARTICIPANTS ASSESSED AS PART OF INSIGHT 46",10,1,0.1
"47","31444142","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,10,1
"48","31444142","MAJOR RESULTS","HIGHER BLOOD PRESSURE IN MIDLIFE ASSOCIATED WITH GREATER CEREBRAL SMALL VESSEL DISEASE BURDEN AND SMALLER BRAIN VOLUMES IN LATE LIFE. NO EVIDENCE OF ASSOCIATION BETWEEN BLOOD PRESSURE AND AMYLOID STATUS.",10,1,0.1
"49","31444142","EFFECT SIZE","0.07-0.15",10,1,0.1
"50","31444142","LOWER CONFIDENCE INTERVAL","1.01",10,1,0.1
"51","31444142","UPPER CONFIDENCE INTERVAL","1.15",10,1,0.1
"52","31444142","P-VALUE","0.024-0.0057",10,1,0.1
"53","33067992","STUDY DESIGN","CROSS-SECTIONAL STUDY",10,10,1
"54","33067992","POPULATION SIZE","112",10,10,1
"55","33067992","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,10,1
"56","33067992","MAJOR RESULTS","METABOLIC SYNDROME WERE ASSOCIATED WITH LOWER CERAD-NB TOTAL SCORES.",10,1,0.1
"57","33067992","EFFECT SIZE","-3.19",10,3,0.3
"58","33067992","LOWER CONFIDENCE INTERVAL","-4.67",10,3,0.3
"59","33067992","UPPER CONFIDENCE INTERVAL","-1.71",10,3,0.3
"60","33067992","P-VALUE","<0.001",10,1,0.1
"61","33767305","STUDY DESIGN","PROSPECTIVE CROSS-SECTIONAL STUDY",10,8,0.8
"62","33767305","POPULATION SIZE","111 EYES OF 86 HEALTHY PARTICIPANTS",10,1,0.1
"63","33767305","COVARIATE DEFINITIONS IN MAINTEXT","N",10,4,0.4
"64","33767305","MAJOR RESULTS","LSFG PULSE WAVEFORM PARAMETERS SIGNIFICANTLY CORRELATED WITH SYSTEMIC FACTORS AND OCULAR PARAMETERS. SKEW AND FLOW ACCELERATION INDEX REFLECTED OCULAR CIRCULATION CHARACTERISTICS.",10,1,0.1
"65","33767305","EFFECT SIZE","NOT APPLICABLE",10,7,0.7
"66","33767305","LOWER CONFIDENCE INTERVAL","NOT APPLICABLE",10,7,0.7
"67","33767305","UPPER CONFIDENCE INTERVAL","NOT APPLICABLE",10,7,0.7
"68","33767305","P-VALUE","P < 0.05",10,7,0.7
"69","36389342","STUDY DESIGN","CROSS-SECTIONAL STUDY",10,10,1
"70","36389342","POPULATION SIZE","297",10,10,1
"71","36389342","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,10,1
"72","36389342","MAJOR RESULTS","PACE WAS POSITIVELY ASSOCIATED WITH GMV IN SPECIFIC BRAIN REGIONS, WHEREAS RHYTHM WAS POSITIVELY ASSOCIATED WITH GMV IN OTHER BRAIN REGIONS. THE GMV PATTERN ASSOCIATED WITH PACE WAS LESS EXPRESSED IN PARTICIPANTS WITH VASCULAR DISEASES SUCH AS HYPERTENSION, DIABETES, AND MYOCARDIAL INFARCTION.",10,1,0.1
"73","36389342","EFFECT SIZE","N/A",10,2,0.2
"74","36389342","LOWER CONFIDENCE INTERVAL","N/A",10,2,0.2
"75","36389342","UPPER CONFIDENCE INTERVAL","N/A",10,2,0.2
"76","36389342","P-VALUE","N/A",10,2,0.2
"77","30368247","STUDY DESIGN","POPULATION-BASED COHORT STUDY",10,10,1
"78","30368247","POPULATION SIZE","2,930,816",10,10,1
"79","30368247","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,6,0.6
"80","30368247","MAJOR RESULTS","INDIVIDUALS WITH HIGHER VARIABILITY IN BMI, SYSTOLIC BP, GLUCOSE, OR TOTAL CHOLESTEROL WERE AT HIGHER RISK OF FUTURE DEMENTIA. THE HAZARD RATIOS FOR ALL-CAUSE DEMENTIA WERE 1.22 FOR ONE PARAMETER, 1.39 FOR TWO PARAMETERS, 1.54 FOR THREE PARAMETERS, AND 1.73 FOR FOUR PARAMETERS COMPARED TO THOSE WITH NO HIGH VARIABILITY.",10,1,0.1
"81","30368247","EFFECT SIZE","1.73",10,9,0.9
"82","30368247","LOWER CONFIDENCE INTERVAL","1.60",10,9,0.9
"83","30368247","UPPER CONFIDENCE INTERVAL","1.88",10,9,0.9
"84","30368247","P-VALUE","<0.001",10,1,0.1
"85","37441712","STUDY DESIGN","CROSS-SECTIONAL STUDY",10,9,0.9
"86","37441712","POPULATION SIZE","138",10,10,1
"87","37441712","COVARIATE DEFINITIONS IN MAINTEXT","N",10,3,0.3
"88","37441712","MAJOR RESULTS","THE CADASIL SEVERITY GRADING SYSTEM IS A PRAGMATIC, RELIABLE METHOD FOR CHARACTERIZING CADASIL PATIENTS, CORRELATING HIGHER SEVERITY GRADES WITH AN INCREASED BURDEN OF VASCULAR RISK FACTORS.",10,1,0.1
"89","37441712","EFFECT SIZE","NOT APPLICABLE",10,3,0.3
"90","37441712","LOWER CONFIDENCE INTERVAL","NOT APPLICABLE",10,3,0.3
"91","37441712","UPPER CONFIDENCE INTERVAL","NOT APPLICABLE",10,3,0.3
"92","37441712","P-VALUE","<0.001",10,6,0.6
"93","33655975","STUDY DESIGN","COHORT-BASED CROSS-SECTIONAL ANALYSIS",10,8,0.8
"94","33655975","POPULATION SIZE","2386",10,10,1
"95","33655975","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,8,0.8
"96","33655975","MAJOR RESULTS","BMI, FMI, AND TFMI SHOWED SIGNIFICANT POSITIVE CORRELATIONS WITH COGNITIVE FUNCTIONS IN MALES, PERSISTING AFTER FULL ADJUSTMENT FOR CONFOUNDERS.",10,1,0.1
"97","33655975","EFFECT SIZE","0.052-0.143",10,1,0.1
"98","33655975","LOWER CONFIDENCE INTERVAL","0.034",10,1,0.1
"99","33655975","UPPER CONFIDENCE INTERVAL","0.200",10,1,0.1
"100","33655975","P-VALUE","0.001",10,1,0.1
"101","37830725","STUDY DESIGN","CROSS-SECTIONAL STUDY",10,10,1
"102","37830725","POPULATION SIZE","21",10,8,0.8
"103","37830725","COVARIATE DEFINITIONS IN MAINTEXT","N",10,10,1
"104","37830725","MAJOR RESULTS","FUNCTIONAL AND NEUROMUSCULAR ABILITY BEING ASSOCIATED WITH QUALITY OF LIFE.",10,1,0.1
"105","37830725","EFFECT SIZE","N/A",10,4,0.4
"106","37830725","LOWER CONFIDENCE INTERVAL","N/A",10,4,0.4
"107","37830725","UPPER CONFIDENCE INTERVAL","N/A",10,4,0.4
"108","37830725","P-VALUE","≤ 0.05",10,7,0.7
"109","37698858","STUDY DESIGN","LONGITUDINAL, POPULATION-BASED STUDIES",10,5,0.5
"110","37698858","POPULATION SIZE","34,519",10,10,1
"111","37698858","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,9,0.9
"112","37698858","MAJOR RESULTS","INDIVIDUALS WITH UNTREATED HYPERTENSION HAD A 42% INCREASED RISK OF DEMENTIA COMPARED WITH HEALTHY CONTROLS, AND THOSE WITH TREATED HYPERTENSION HAD NO SIGNIFICANT INCREASED DEMENTIA RISK COMPARED WITH HEALTHY CONTROLS.",10,1,0.1
"113","37698858","EFFECT SIZE","1.42, 1.26, 1.13",10,1,0.1
"114","37698858","LOWER CONFIDENCE INTERVAL","1.15, 1.03, 0.99",10,1,0.1
"115","37698858","UPPER CONFIDENCE INTERVAL","1.76, 1.53, 1.28",10,1,0.1
"116","37698858","P-VALUE","0.001, 0.02, 0.07",10,1,0.1
"117","38229871","STUDY DESIGN","RETROSPECTIVE COHORT STUDY",10,10,1
"118","38229871","POPULATION SIZE","NOT SPECIFIED IN THE PROVIDED TEXT",10,2,0.2
"119","38229871","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,10,1
"120","38229871","MAJOR RESULTS","PATIENTS WITH DEMENTIA, HEART FAILURE, KIDNEY DISEASE, OR CANCER WERE PREDICTORS OF DEATH, WHILE VARIOUS COMORBIDITIES SUCH AS ARTERIAL HYPERTENSION, DIABETES, ISCHEMIC HEART DISEASES, AMONG OTHERS, WERE RELEVANT IN DIFFERENT OUTCOMES.",10,1,0.1
"121","38229871","EFFECT SIZE","NOT APPLICABLE IN THE CONTEXT OF THE STUDY",10,1,0.1
"122","38229871","LOWER CONFIDENCE INTERVAL","NOT APPLICABLE IN THE CONTEXT OF THE STUDY",10,1,0.1
"123","38229871","UPPER CONFIDENCE INTERVAL","NOT APPLICABLE IN THE CONTEXT OF THE STUDY",10,1,0.1
"124","38229871","P-VALUE","NOT REPORTED IN THE EXTRACTED TEXT",10,1,0.1
"125","31617930","STUDY DESIGN","NESTED COHORT STUDY",10,10,1
"126","31617930","POPULATION SIZE","164",10,9,0.9
"127","31617930","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,9,0.9
"128","31617930","MAJOR RESULTS","MEASURED ACQUIRED AND HERITABLE FACTORS EXPLAINED 29% OF THE INTERGENERATIONAL DIFFERENCE IN AGE AT SYMPTOMATIC ONSET OF ALZHEIMER'S DISEASE. FACTORS ASSOCIATED WITH EARLIER-THAN-EXPECTED ONSET INCLUDED PARENTAL HISTORY OF DEMENTIA, HIGHER EDUCATION YEARS, AND RETROSPECTIVE DETERMINATION OF AGE AT ONSET. FACTORS ASSOCIATED WITH LATER-THAN-EXPECTED ONSET INCLUDED EARLY-ONSET DEMENTIA IN PARENTS, PRESENCE OF APOE Ε4 ALLELE, AND HISTORY OF HYPERTENSION.",10,1,0.1
"129","31617930","EFFECT SIZE","0.29",10,4,0.4
"130","31617930","LOWER CONFIDENCE INTERVAL","0.09",10,2,0.2
"131","31617930","UPPER CONFIDENCE INTERVAL","0.29",10,2,0.2
"132","31617930","P-VALUE","<0.001",10,8,0.8
"133","29574441","STUDY DESIGN","CROSS-SECTIONAL, OBSERVATIONAL",10,8,0.8
"134","29574441","POPULATION SIZE","116",10,9,0.9
"135","29574441","COVARIATE DEFINITIONS IN MAINTEXT","N",10,5,0.5
"136","29574441","MAJOR RESULTS","DIET AND INSULIN SENSITIVITY EXPLAINED VARIABILITY IN BRAIN CORTICAL THICKNESS IN MIDDLE-AGED ADULTS. MRI MEASURES OF LIMBIC STRUCTURES IMPACTED MEMORY PERFORMANCE. INTELLECTUAL ENRICHMENT AND INCREASED BMI INFLUENCED COGNITIVE PERFORMANCE.",10,1,0.1
"137","29574441","EFFECT SIZE","0.58",10,3,0.3
"138","29574441","LOWER CONFIDENCE INTERVAL","0.29",10,2,0.2
"139","29574441","UPPER CONFIDENCE INTERVAL","0.59",10,1,0.1
"140","29574441","P-VALUE","<0.001",10,2,0.2
"141","37203319","STUDY DESIGN","RETROSPECTIVE COHORT STUDY",10,10,1
"142","37203319","POPULATION SIZE","908",10,10,1
"143","37203319","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,8,0.8
"144","37203319","MAJOR RESULTS","FACTORS ASSOCIATED WITH MORTALITY INCLUDED AGE, CHRONIC OBSTRUCTIVE PULMONARY DISEASE, SPECIFIC WAVES, AND THE PROTECTIVE EFFECT OF GLUCOCORTICOID TREATMENT.",10,1,0.1
"145","37203319","EFFECT SIZE","0.29",10,9,0.9
"146","37203319","LOWER CONFIDENCE INTERVAL","0.14",10,10,1
"147","37203319","UPPER CONFIDENCE INTERVAL","0.62",10,9,0.9
"148","37203319","P-VALUE","NOT PROVIDED",10,3,0.3
"149","30180830","STUDY DESIGN","PROSPECTIVE COHORT STUDY",10,8,0.8
"150","30180830","POPULATION SIZE","488",10,10,1
"151","30180830","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,10,1
"152","30180830","MAJOR RESULTS","INCREASED PHYSICAL FITNESS AT AGE 79 DOES NOT REDUCE THE RISK FOR SUBSEQUENT DEMENTIA; APOE Ε4 CARRIER STATUS REMAINS A SIGNIFICANT PREDICTOR FOR DEMENTIA.",10,1,0.1
"153","30180830","EFFECT SIZE","1.93",10,2,0.2
"154","30180830","LOWER CONFIDENCE INTERVAL","1.07",10,2,0.2
"155","30180830","UPPER CONFIDENCE INTERVAL","3.57",10,2,0.2
"156","30180830","P-VALUE","0.03",10,2,0.2
"157","36699985","STUDY DESIGN","CROSS-SECTIONAL STUDY",10,10,1
"158","36699985","POPULATION SIZE","83",10,10,1
"159","36699985","COVARIATE DEFINITIONS IN MAINTEXT","N",10,4,0.4
"160","36699985","MAJOR RESULTS","FOUR BASIC CARE NEEDS IDENTIFIED WERE SOCIAL RESOURCES REFERRAL AND LEGAL SUPPORT, DRUG KNOWLEDGE EDUCATION, MEMORY PROBLEM CARE, AND FALL PREVENTION. FREQUENT UNMET NEEDS INCLUDED DISEASE KNOWLEDGE EDUCATION AND HYPERTENSION CARE.",10,1,0.1
"161","36699985","EFFECT SIZE","N/A",10,4,0.4
"162","36699985","LOWER CONFIDENCE INTERVAL","N/A",10,4,0.4
"163","36699985","UPPER CONFIDENCE INTERVAL","N/A",10,4,0.4
"164","36699985","P-VALUE","N/A",10,4,0.4
"165","34176293","STUDY DESIGN","POST HOC ANALYSIS OF THE ASPREE TRIAL",10,10,1
"166","34176293","POPULATION SIZE","19,114",10,9,0.9
"167","34176293","COVARIATE DEFINITIONS IN MAINTEXT","N",10,8,0.8
"168","34176293","MAJOR RESULTS","HIGH BPV IN OLDER ADULTS WITHOUT MAJOR COGNITIVE IMPAIRMENT, PARTICULARLY MEN, IS ASSOCIATED WITH INCREASED RISKS OF DEMENTIA AND COGNITIVE DECLINE.",10,1,0.1
"169","34176293","EFFECT SIZE","1.68",10,10,1
"170","34176293","LOWER CONFIDENCE INTERVAL","1.19",10,10,1
"171","34176293","UPPER CONFIDENCE INTERVAL","2.39",10,10,1
"172","34176293","P-VALUE","0.02",10,10,1
"173","37711969","STUDY DESIGN","CROSS-SECTIONAL STUDY",10,10,1
"174","37711969","POPULATION SIZE","70",10,9,0.9
"175","37711969","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,7,0.7
"176","37711969","MAJOR RESULTS","HIGH SYSTOLIC AND DIASTOLIC SHORT- AND MID-TERM BPV WERE ASSOCIATED WITH POORER COGNITIVE FUNCTIONING, INDEPENDENT OF MEAN BP. SHORT-TERM BPV LINKED TO ATTENTION AND PSYCHOMOTOR SPEED, DAY-TO-DAY BPV LINKED TO EXECUTIVE FUNCTIONING. CERTAIN BPV MEASURES ASSOCIATED WITH ARTERIAL STIFFNESS BUT NOT WITH CEREBROVASCULAR PULSATILITY.",10,1,0.1
"177","37711969","EFFECT SIZE","NOT PROVIDED",10,3,0.3
"178","37711969","LOWER CONFIDENCE INTERVAL","NOT PROVIDED",10,3,0.3
"179","37711969","UPPER CONFIDENCE INTERVAL","NOT PROVIDED",10,3,0.3
"180","37711969","P-VALUE","NOT PROVIDED",10,3,0.3
"181","35897033","STUDY DESIGN","PROSPECTIVE OBSERVATIONAL STUDY",10,10,1
"182","35897033","POPULATION SIZE","251",10,9,0.9
"183","35897033","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,10,1
"184","35897033","MAJOR RESULTS","RISK FACTORS FOR COGNITIVE DECLINE IN T2DM PATIENTS INCLUDED AGE ≥ 65 YEARS, SCHOOLING ≤ 6 YEARS, ARTERIAL HYPERTENSION, DEPRESSION SYMPTOMS, DIABETIC RETINOPATHY < ZERO.",10,1,0.1
"185","35897033","EFFECT SIZE","VARIED ODDS RATIOS",10,1,0.1
"186","35897033","LOWER CONFIDENCE INTERVAL","VARIED VALUES",10,1,0.1
"187","35897033","UPPER CONFIDENCE INTERVAL","VARIED VALUES",10,1,0.1
"188","35897033","P-VALUE","NOT EXPLICITLY PROVIDED",10,2,0.2
"189","35533660","STUDY DESIGN","POISSON REGRESSION MODEL AND ORDINAL REGRESSION MODEL",10,4,0.4
"190","35533660","POPULATION SIZE","21,920 FOR PRIMARY ANALYSIS AND 12,694 FOR SECOND ANALYSIS",10,1,0.1
"191","35533660","COVARIATE DEFINITIONS IN MAINTEXT","N",10,8,0.8
"192","35533660","MAJOR RESULTS","PSYCHOSOCIAL VARIABLES LIKE DEPRESSION, PERCEIVED SOCIAL STATUS, AND PERSONALITY TRAITS WERE MORE CONSISTENTLY ASSOCIATED WITH SCD THAN PHYSICAL HEALTH FACTORS LIKE ACTIVITY LEVEL AND VISION PROBLEMS.",10,1,0.1
"193","35533660","EFFECT SIZE","",10,3,0.3
"194","35533660","LOWER CONFIDENCE INTERVAL","",10,3,0.3
"195","35533660","UPPER CONFIDENCE INTERVAL","",10,3,0.3
"196","35533660","P-VALUE","",10,3,0.3
"197","34872609","STUDY DESIGN","CROSS-SECTIONAL STUDY",10,3,0.3
"198","34872609","POPULATION SIZE","1081",10,10,1
"199","34872609","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,10,1
"200","34872609","MAJOR RESULTS","HIGHER BODY HEIGHT WAS ASSOCIATED WITH A DECREASED PREVALENCE OF COGNITIVE IMPAIRMENT IN ELDERLY MEN, WITH EACH 1-DM INCREASE IN HEIGHT LINKED TO A 37% DECREASE IN COGNITIVE IMPAIRMENT. NO SIGNIFICANT ASSOCIATION WAS FOUND IN ELDERLY WOMEN.",10,1,0.1
"201","34872609","EFFECT SIZE","0.63",10,8,0.8
"202","34872609","LOWER CONFIDENCE INTERVAL","0.54",10,2,0.2
"203","34872609","UPPER CONFIDENCE INTERVAL","0.66",10,1,0.1
"204","34872609","P-VALUE","NOT PROVIDED IN THE TEXT",10,1,0.1
"205","38443972","STUDY DESIGN","CROSS-SECTIONAL STUDY",10,10,1
"206","38443972","POPULATION SIZE","2381",10,10,1
"207","38443972","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,5,0.5
"208","38443972","MAJOR RESULTS","UNTREATED DIABETES PREVALENCE WAS HIGHER FOR MALES, OLDER ADULTS, AND PRE-FRAIL STATUS. MALES AND CURRENT SMOKERS WERE MORE LIKELY TO HAVE UNTREATED HYPERTENSION. UNTREATED DYSLIPIDEMIA WAS MORE COMMON IN SMOKERS AND MALES, WHILE UNTREATED HYPERCHOLESTEROLEMIA WAS MORE COMMON IN MALES AND REPORTED LOWER IN PEOPLE WITH DEMENTIA.",10,1,0.1
"209","38443972","EFFECT SIZE","0.78",10,3,0.3
"210","38443972","LOWER CONFIDENCE INTERVAL","0.61",10,3,0.3
"211","38443972","UPPER CONFIDENCE INTERVAL","1.00",10,3,0.3
"212","38443972","P-VALUE","N/A",10,1,0.1
"213","37079031","STUDY DESIGN","OBSERVATIONAL STUDY WITH LINEAR MIXED-EFFECT MODELS",10,4,0.4
"214","37079031","POPULATION SIZE","72 PARTICIPANTS",10,1,0.1
"215","37079031","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,7,0.7
"216","37079031","MAJOR RESULTS","IN MANIFEST HUNTINGTON’S DISEASE, MACULAR THICKNESS WAS SIGNIFICANTLY ASSOCIATED WITH MOCA SCORES, WITH INNER NUCLEAR LAYER SHOWING THE LARGEST REGRESSION COEFFICIENTS.",10,1,0.1
"217","37079031","EFFECT SIZE","NOT PROVIDED",10,4,0.4
"218","37079031","LOWER CONFIDENCE INTERVAL","NOT PROVIDED",10,4,0.4
"219","37079031","UPPER CONFIDENCE INTERVAL","NOT PROVIDED",10,4,0.4
"220","37079031","P-VALUE","NOT PROVIDED",10,4,0.4
"221","36265125","STUDY DESIGN","NATIONWIDE COHORT STUDY WITH PROPENSITY SCORE MATCHING",10,10,1
"222","36265125","POPULATION SIZE","8070",10,9,0.9
"223","36265125","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,10,1
"224","36265125","MAJOR RESULTS","COVID-19 INFECTION RATE AND SEVERITY WERE ASSOCIATED WITH VARIOUS COMORBIDITIES, WITH DIFFERING ODDS RATIOS REPORTED.",10,1,0.1
"225","36265125","EFFECT SIZE","0.78",10,1,0.1
"226","36265125","LOWER CONFIDENCE INTERVAL","0.60",10,1,0.1
"227","36265125","UPPER CONFIDENCE INTERVAL","1.00",10,1,0.1
"228","36265125","P-VALUE","NOT PROVIDED",10,1,0.1
"229","37448423","STUDY DESIGN","RETROSPECTIVE COHORT STUDY",10,10,1
"230","37448423","POPULATION SIZE","229025",10,6,0.6
"231","37448423","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,10,1
"232","37448423","MAJOR RESULTS","MALE PATIENTS WITH HYPERTENSIVE EMERGENCY HAD 39% HIGHER ODDS OF MORTALITY COMPARED TO FEMALE PATIENTS. AGE AND CHARLSON COMORBIDITY INDEX WERE INDEPENDENT PREDICTORS OF MORTALITY.",10,3,0.3
"233","37448423","EFFECT SIZE","1.39",10,10,1
"234","37448423","LOWER CONFIDENCE INTERVAL","1.02",10,5,0.5
"235","37448423","UPPER CONFIDENCE INTERVAL","1.20",10,5,0.5
"236","37448423","P-VALUE","0.036",10,10,1
"237","35102219","STUDY DESIGN","LONGITUDINAL STUDY",10,4,0.4
"238","35102219","MAJOR RESULTS","LOSS OF LONGITUDINAL INCREASE IN SYSTOLIC BLOOD PRESSURE IN LATE LIFE WAS ASSOCIATED WITH A HIGHER RISK OF INCIDENT DEMENTIA AT YEARS 4 TO 6.",10,1,0.1
"239","33839636","MAJOR RESULTS","THE MOST FREQUENT MEDICAL ANTECEDENTS WERE NEUROLOGICAL PATHOLOGY AND HYPERTENSION. INCIDENCE OF POLYPHARMACY, ESPECIALLY DIURETICS, BENZODIAZEPINES, OR HYPNOTICS, WAS HIGHLIGHTED. ROLE OF NEUROLOGICAL DISEASES, HYPERTENSION, POLYPHARMACY, AND INFECTIONS IN DELIRIUM PREVENTION IN PRIMARY CARE PATIENTS WERE EMPHASIZED.",10,1,0.1
"240","33839636","EFFECT SIZE","NOT APPLICABLE",10,4,0.4
"241","33839636","LOWER CONFIDENCE INTERVAL","NOT APPLICABLE",10,4,0.4
"242","33839636","UPPER CONFIDENCE INTERVAL","NOT APPLICABLE",10,4,0.4
"243","33839636","P-VALUE","NOT APPLICABLE",10,4,0.4
"244","34611033","MAJOR RESULTS","MALE GENDER, STROKE SEVERITY, SEVERITY OF ADL ON FOLLOW-UP, AND MTLA ARE POTENTIAL PREDICTORS OF POOR PARTICIPATION AFTER ACUTE ISCHEMIC STROKE, DESPITE GOOD MRS SCORES.",10,1,0.1
"245","34611033","EFFECT SIZE","-",10,1,0.1
"246","34611033","LOWER CONFIDENCE INTERVAL","-",10,1,0.1
"247","34611033","UPPER CONFIDENCE INTERVAL","-",10,1,0.1
"248","34611033","P-VALUE","-",10,1,0.1
"249","33126696","MAJOR RESULTS","DEPRESSION AND DIABETES MELLITUS WERE ASSOCIATED WITH INCREASED LIKELIHOOD OF DEVELOPING ALZHEIMER'S DISEASE.",10,1,0.1
"250","33126696","EFFECT SIZE","0.47",10,2,0.2
"251","33126696","LOWER CONFIDENCE INTERVAL","0.22",10,2,0.2
"252","33126696","UPPER CONFIDENCE INTERVAL","1.1",10,4,0.4
